can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,charge,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,number_of_atoms,zero_point_correction,N1_APT_charge,N1_ES_root_Mulliken_charge,N1_ES_root_NPA_Rydberg,N1_ES_root_NPA_charge,N1_ES_root_NPA_core,N1_ES_root_NPA_total,N1_ES_root_NPA_valence,N1_Mulliken_charge,N1_NMR_anisotropy,N1_NMR_shift,N1_NPA_Rydberg,N1_NPA_charge,N1_NPA_core,N1_NPA_total,N1_NPA_valence,N1_VBur
C#CC(C)(C)N,-250.099329,1.624,605.4829,756.437,-250.23557439,0.137539,-250.106642,-250.136756,0.100111,-250.098385,0.138483,0.0,0.5544,0.10227499999999999,600.9725,0.148145,-0.25042,0.04587,83.1328,849.062,15.0,0.130226,-0.518503,-0.103673,0.01498,-0.68453,1.99938,7.68453,5.67017,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,7.86475,5.84891,0.44823788546255505
C#Cc1cccc(N)c1,-363.052418,5.5052,1256.5587,1014.143,-363.185003559,0.134744,-363.060256,-363.092266,0.094896,-363.051474,0.135688,0.0,2.1542,0.12289,1251.5209,0.09315000000000001,-0.21604,-0.02974,117.15,1216.972,16.0,0.126906,-0.712014,-0.028304,0.0102,-0.62407,1.99926,7.62407,5.6146,-0.138897,78.9152,200.5893,0.0114,-0.8126,1.9993,7.8126,5.8019,0.37562932662051607
C1CCN(C2CCNCC2)CC1,-501.53320331371407,1.198606475047413,2633.3718442209733,1891.2382573938341,-501.8381888245841,0.3103041675440954,-501.5444851460437,-501.58147932319264,0.26202832887348815,-501.532259313714,0.3112481675440954,0.0,1.1306252568206796,0.07280463079250407,2643.4751105188916,0.1309803408032464,-0.20378497159575046,0.05817571001074233,168.28140000000002,1594.9584987694475,32.0,0.29902250602255015,-0.5563671589400024,-0.26131361980207535,0.013964500029645723,-0.6445293197306154,1.9993575464636466,7.644529319730616,5.6312089813179,-0.3090933652982359,69.30255864019612,228.41118249260396,0.014869720137234973,-0.7144971809019116,1.9993848757582715,7.714497180901912,5.7002425850050535,0.5186572384003199
C1CCNC1,-212.121408,2.8297,398.6387,760.644,-212.253541263,0.135034,-212.126398,-212.155085,0.101358,-212.120464,0.135978,0.0,1.2585,0.08814,383.3138,0.14362,-0.23176,0.05548,71.1218,883.328,14.0,0.130045,-0.519768,0.040423,0.01384,-0.21214,1.99908,7.21214,5.19921,-0.311719,29.4416,214.1609,0.01435,-0.70502,1.99942,7.70502,5.69124,0.4879641283826306
C1COCCN1,-287.214102,2.7292,526.3137,1029.686,-287.352344872,0.140888,-287.219339,-287.247731,0.107259,-287.213158,0.141832,0.0,1.192,0.07744500000000001,522.1504,0.140425,-0.21787,0.06298,87.1212,744.351,15.0,0.135651,-0.528155,0.023073,0.01715,-0.33964,1.9992,7.33964,5.32329,-0.311703,68.5394,232.4908,0.01567,-0.71203,1.9994,7.71203,5.69696,0.5089679043423537
CC(=O)c1ccc(N)cc1,-439.418915,2.2009,1681.8972,1246.491,-439.579875239,0.164484,-439.428201,-439.462355,0.121043,-439.417971,0.165428,0.0,4.6106,0.12998,1687.0737,0.09155,-0.22153,-0.03843,135.1652,1451.61,19.0,0.155198,-0.808246,-0.137639,0.01144,-0.81216,1.99928,7.81216,5.80144,-0.12685,75.7207,195.2526,0.01074,-0.79984,1.99927,7.79984,5.78983,0.3762586532410321
CC(C)NC(C)C,-291.7616038486593,1.4890151340701954,1056.528720619005,1210.7032223105618,-291.9741202246274,0.21506708806904945,-291.77092010937724,-291.80437893672837,0.17229102172648808,-291.7606598486593,0.21601108806904945,0.0,0.8637526297293567,0.08060959745540944,1048.4963964771969,0.13955677882744535,-0.22016637628285476,0.0589471813720359,101.19120000000001,1243.473511967771,22.000000000000004,0.20575082735119254,-0.599337599501297,0.02063080967045418,0.011858050431558896,-0.21799278745862324,1.9991206517946425,7.217992787458623,5.207014085232422,-0.29061523573635895,44.880436008739046,192.61934747152625,0.016451520854165232,-0.7355593249434152,1.9993102172648807,7.7355593249434165,5.719797804089251,0.6330513977702079
CC(C)Nc1ccccc1,-404.710988,4.8795,1817.4455,1400.868,-404.919270764,0.212397,-404.720744,-404.755647,0.167738,-404.710044,0.213341,0.0,1.8441,0.09856,1842.4337,0.10159,-0.20015,0.00303,135.2084,1249.423,23.0,0.20264,-0.822269,-0.101276,0.01255,-0.45472,1.99914,7.45472,5.44303,-0.20524,66.9462,173.7125,0.01336,-0.65592,1.99915,7.65592,5.6434,0.6011642542479547
CC(NC(=O)OCc1ccccc1)C(=O)O,-781.2649678347918,2.200590983557649,4958.801870732047,1799.8090527635986,-781.5087349287585,0.24972949106567296,-781.2800285540774,-781.3256655897773,0.18903190990206897,-781.2640233663813,0.25067360508260933,0.0,1.873947112828476,0.1363474554953261,5288.041440135387,0.12315129350103705,-0.25949874899636316,-0.013196161994289047,223.228,1771.6155072945046,29.0,0.23466869807782836,-0.8257047900490899,-0.22344326203324466,0.013692060408730099,-0.7003338994507162,1.999153938958547,7.700333899450716,5.687486695989891,-0.22457202059343503,98.13005298272006,171.80134847136293,0.013665702008326602,-0.7015269600915124,1.999153938958547,7.701526960091512,5.688705580088187,0.5941432840143946
CC1CCCNC1,-290.584436,3.2049,835.622,1178.903,-290.776347131,0.194411,-290.591371,-290.621744,0.157102,-290.583492,0.195355,0.0,1.1428,0.078015,821.5784,0.139455,-0.21747,0.06144,99.1754,949.246,20.0,0.187475,-0.550169,0.037088,0.01367,-0.24207,1.99915,7.24207,5.22925,-0.291462,63.6462,224.9188,0.01507,-0.71103,1.99939,7.71103,5.69657,0.5179358086847073
