,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
O=C(O)c1cc2ccccc2s1,10.58097978080121,10.58097978080121,0.3992592592592594,-0.8507407407407401,0.7283170522070755,178.212,172.164,178.008850432,60,0,0.3454012314483822,-0.4770493360720653,0.4770493360720653,0.3454012314483822,1.3333333333333333,2.0833333333333335,2.75,32.133531885195715,10.24245536802194,2.0591878249533258,-1.8160948689200753,2.242284720730745,-1.8888218299759212,7.202658197962669,0.07020241205224219,2.4647017969887055,2.6972540609797386,397.77608533703346,8.55204176387779,6.150461522375814,6.96695810330354,5.770856947829096,3.4906797718250258,4.307176352752752,2.453629058598679,3.537406015085506,1.6363072601854347,2.740390246144972,1.0872737463036561,1.9888268985369697,-1.3499999999999999,907.0102612918437,7.307223378584982,2.604540125711298,1.0799985599155153,73.07412888828004,5.106527394840706,4.877147193701299,0.0,0.0,0.0,5.9693052879518484,0.0,4.794537184071822,0.0,11.336785877934735,18.19910120538483,17.518958351388015,4.6999199164691,0.0,9.901064578912528,27.39223529682048,0.0,0.0,0.0,0.0,0.0,35.20898253600935,0.0,0.0,0.0,0.0,0.0,11.336785877934735,11.075832682792555,0.0,0.0,9.671684377773122,30.33183534230805,0.0,10.086144130933896,0.0,37.3,5.9693052879518484,4.794537184071822,0.0,0.0,4.877147193701299,10.086144130933896,11.336785877934735,6.06636706846161,24.26546827384644,0.0,5.106527394840706,1.0230555555555556,1.3058333333333332,10.98023904006047,9.696181972789116,0.0,-0.8507407407407401,9.345430839002267,0.0,0.0,0.0,0.0,12,1,2,0,0,0,1,1,2,2,1,3,1,0,0,0,2,2.599500000000001,48.78430000000002,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
O=C(O)c1ccco1,9.968287037037037,9.968287037037037,0.023148148148147696,-1.0324074074074077,0.5885978352786929,112.08399999999997,108.05199999999998,112.016043988,42,0,0.3712726117836819,-0.47537335989280455,0.47537335989280455,0.3712726117836819,1.75,2.5,2.75,16.405362579040215,10.464742774934452,2.012394324384522,-1.7861224638768176,1.9685734723879575,-1.9048316884352225,5.835693881319667,0.06622208409753613,2.1159680315697544,2.9283752374267684,175.56366915733074,5.983127663125442,3.9957609839965613,3.9957609839965613,3.8045304526403108,2.0728991498708376,2.0728991498708376,1.2824539846018677,1.2824539846018677,0.7319610093220201,0.7319610093220201,0.4002488291820101,0.4002488291820101,-1.25,93.1025933890692,4.898148148148148,1.6944897959183673,0.7026627218934911,45.54643035021019,9.523678331894054,0.0,0.0,5.7602474188744415,0.0,5.9693052879518484,0.0,4.794537184071822,0.0,0.0,0.0,12.13273413692322,0.0,6.263162995639057,14.318215515965875,5.9693052879518484,0.0,0.0,0.0,0.0,0.0,24.156144551436718,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,0.0,0.0,10.554784602946263,22.813048069615622,0.0,0.0,0.0,50.44,5.9693052879518484,4.794537184071822,0.0,5.7602474188744415,0.0,0.0,18.395897132562276,0.0,0.0,4.417150937053347,5.106527394840706,4.49537037037037,0.0,9.968287037037037,8.179953703703703,0.0,-1.0555555555555554,2.922407407407407,1.3228703703703704,0.0,0.0,0.0,8,1,3,0,0,0,0,1,1,2,1,3,1,0,0,0,1,0.9778,25.667299999999994,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)c1cccc(-c2ccccc2)c1,10.784467435122197,10.784467435122197,0.3160676492819352,-0.8955730347694628,0.8047468514889748,198.221,188.14099999999996,198.06807956,74,0,0.33520065966419116,-0.4776389917682611,0.4776389917682611,0.33520065966419116,0.8666666666666667,1.5333333333333334,2.2,16.365542378050034,10.03412464693643,2.0316003840415613,-2.015833752451575,2.192106100865356,-1.9498067591845238,5.889020474684807,0.06966955492107428,2.3029159293356556,2.4605139004956658,474.90444323266235,10.673362107437434,8.051614308670455,8.051614308670455,7.270856947829096,4.659781750550789,4.659781750550789,3.2519825610764967,3.2519825610764967,2.216644056843802,2.216644056843802,1.4623914256092494,1.4623914256092494,-2.0899999999999994,3629.3955046329934,9.464452702776038,3.964406732215082,2.045973094419842,87.80919529219739,5.106527394840706,0.0,0.0,0.0,0.0,5.9693052879518484,0.0,4.794537184071822,0.0,0.0,42.46456947923127,23.259637120317212,0.0,5.563451491696996,9.901064578912528,5.9693052879518484,0.0,0.0,0.0,0.0,0.0,60.160755107851486,0.0,11.126902983393991,0.0,0.0,0.0,0.0,11.075832682792555,0.0,0.0,10.357988675768818,54.59730361615449,0.0,11.126902983393991,0.0,37.3,5.9693052879518484,4.794537184071822,0.0,0.0,5.563451491696996,11.126902983393991,0.0,18.19910120538483,36.39820241076966,0.0,5.106527394840706,0.0,0.0,10.784467435122197,8.85616654069035,2.270789871504158,-0.8955730347694628,16.650815854119426,0.0,0.0,0.0,0.0,15,1,2,0,0,0,2,0,2,1,1,2,2,0,0,0,2,3.051800000000001,58.83730000000003,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,13.966636432350718,13.966636432350718,0.3964814814814812,-0.9566100823045269,0.8937504426107861,244.265,231.16099999999994,244.089957876,92,0,0.31018714849415946,-0.4807884920982788,0.4807884920982788,0.31018714849415946,1.1666666666666667,1.8333333333333333,2.388888888888889,19.142190922436892,9.96931012575508,2.1526510574252455,-2.090853748838544,2.256718840775554,-2.0722416493663567,5.758291141001164,-0.13786305435592383,2.3826482345604862,2.4013638717125736,563.9612141459352,13.120955864630139,9.929578781679682,9.929578781679682,8.592224152875016,5.67013119210132,5.67013119210132,4.1652345741536,4.1652345741536,2.9483613261911517,2.9483613261911517,1.7950975629394583,1.7950975629394583,-2.1599999999999993,12990.19817482377,12.300954293871056,5.001422908877978,2.399039500976548,104.70461492391684,5.106527394840706,5.817220841045894,0.0,0.0,0.0,5.9693052879518484,4.794537184071822,4.39041504767482,0.0,0.0,42.46456947923127,24.117007251546223,5.563451491696996,5.917906046161393,14.291479626587348,5.9693052879518484,0.0,0.0,0.0,12.841643245852017,0.0,59.91160888043577,0.0,11.126902983393991,0.0,4.39041504767482,0.0,0.0,11.075832682792555,4.794537184071822,5.817220841045894,18.405094737549014,48.53093654769288,0.0,11.126902983393991,0.0,37.3,17.704432175159138,9.184952231746642,0.0,0.0,11.126902983393991,5.563451491696996,6.06636706846161,19.056471336613843,30.33183534230805,0.0,5.106527394840706,13.966636432350718,0.0,10.843492256100483,8.890206219846371,1.7371740362811798,-2.057421789703536,13.745610124036348,0.0,1.540969387755102,0.0,0.13333333333333333,18,1,2,0,0,0,2,0,2,1,1,3,3,0,0,0,2,3.6808000000000023,67.88680000000002,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)C(c1ccccc1)c1ccccc1,11.30037792894936,11.30037792894936,0.5811111111111118,-0.8218518518518512,0.8489072748937483,212.24800000000002,200.15199999999996,212.083729624,80,0,0.31498811512614505,-0.4805330361082034,0.4805330361082034,0.31498811512614505,0.8125,1.1875,1.5,16.366540429479635,9.91512706219202,2.2048070921290193,-2.1220346030592676,2.2377433695601203,-2.1222800057507065,5.798442315255555,-0.13725923445541258,2.314238969331439,2.4372651795739144,423.1087192277258,11.380468888623982,8.706314847049708,8.706314847049708,7.787693700234704,5.115123551812268,5.115123551812268,3.5926175749270053,3.5926175749270053,2.5127622245617016,2.5127622245617016,1.7685820687752614,1.7685820687752614,-2.0899999999999994,5924.451761488484,10.42855960264156,4.619630554976046,2.111671879964506,94.174137406594,5.106527394840706,5.917906046161393,0.0,0.0,0.0,5.9693052879518484,4.794537184071822,0.0,0.0,0.0,60.6636706846161,11.126902983393991,0.0,0.0,9.901064578912528,5.9693052879518484,0.0,0.0,0.0,5.917906046161393,0.0,71.7905736680101,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,17.044809029555385,60.6636706846161,0.0,0.0,0.0,37.3,11.887211334113243,9.901064578912528,0.0,0.0,0.0,11.126902983393991,0.0,0.0,60.6636706846161,0.0,0.0,0.0,0.0,11.30037792894936,9.280117157974301,1.6133333333333337,-1.402962962962963,18.5424678760393,0.0,0.0,0.0,0.07142857142857142,16,1,2,0,0,0,2,0,2,1,1,2,3,0,0,0,2,2.903100000000001,62.362800000000036,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)C1c2ccccc2Oc2ccccc21,11.424266817838246,11.424266817838246,0.6237037037037039,-0.8535185185185175,0.8125516533447157,226.231,216.15099999999995,226.06299418,84,0,0.3152756846785173,-0.4805296440192925,0.4805296440192925,0.3152756846785173,0.9411764705882353,1.411764705882353,1.8823529411764706,16.4832382815966,9.88057541116258,2.313442813177236,-2.24745983876243,2.4318248215499905,-2.1759778109691013,5.833147873676494,-0.13742246496354663,2.349869718409537,2.2408842380422564,544.0261231343673,11.828062645816686,8.959862599134318,8.959862599134318,8.270856947829095,5.3567051756094655,5.3567051756094655,3.9489646108284395,3.9489646108284395,2.9268964277751945,2.9268964277751945,2.1759720483145264,2.1759720483145264,-2.2899999999999996,11843.343380784067,9.90226814590861,3.6272965689738736,1.4742513853272585,98.28185148257165,9.843390348640755,17.416929712729203,0.0,0.0,0.0,5.9693052879518484,4.794537184071822,0.0,0.0,0.0,36.39820241076966,12.13273413692322,11.126902983393991,0.0,14.637927532712578,5.9693052879518484,0.0,0.0,0.0,5.917906046161393,0.0,59.65783953108687,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,0.0,11.075832682792555,4.794537184071822,0.0,17.044809029555385,48.53093654769288,0.0,0.0,0.0,46.53,11.887211334113243,9.901064578912528,0.0,0.0,22.6259266499618,0.0,0.0,24.26546827384644,24.26546827384644,0.0,4.736862953800049,5.694490740740741,0.0,11.424266817838246,9.376228269085413,1.4142592592592598,-0.24856481481481363,14.505986394557825,0.0,0.0,0.0,0.07142857142857142,17,1,3,0,1,1,2,0,2,2,1,3,1,0,0,0,3,3.0088000000000017,62.43680000000003,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)c1ccc(C(F)(F)F)cn1,11.933256330309902,11.933256330309902,0.4092592592592592,-4.4821097883597885,0.7357101909893035,191.10799999999998,187.07599999999996,191.019413028,70,0,0.41738951049120265,-0.4765094693035721,0.4765094693035721,0.41738951049120265,1.3846153846153846,2.0,2.3076923076923075,19.413171745965805,10.227992567881735,2.303219766893194,-2.0426567316261197,2.2768384705513847,-2.0719542416044283,5.8464531137793845,-0.1373940663940818,2.0282594982022895,3.0087408289185595,317.50469402545093,10.060477932315068,6.168619708060337,6.168619708060337,5.90970216816285,3.1758420771106635,3.1758420771106635,2.2350260688390686,2.2350260688390686,1.3099266792737096,1.3099266792737096,0.6880572151746188,0.6880572151746188,-1.59,608.4778494606868,9.497642418930763,3.0411121345816894,2.1723767400814507,70.83329739025517,5.106527394840706,5.693927994848461,0.0,0.0,0.0,12.145603805395323,0.0,9.778515705019029,13.171245143024459,0.0,0.0,12.13273413692322,6.196843571613076,5.563451491696996,23.07230972193699,5.9693052879518484,0.0,4.983978520947208,0.0,6.176298517443475,0.0,29.58695719508175,0.0,0.0,0.0,13.171245143024459,0.0,0.0,16.059811203739763,6.176298517443475,0.0,16.051916670617278,18.3295777085363,0.0,0.0,0.0,50.19,23.402983291940778,17.96578232709628,0.0,0.0,12.263210640074686,6.06636706846161,0.0,0.0,0.0,4.983978520947208,5.106527394840706,35.79976899092971,0.0,13.343272864701436,8.334762849584278,-1.3699074074074074,-1.353032879818594,1.487708333333333,-3.9925727513227516,0.0,0.0,0.14285714285714285,13,1,3,0,0,0,0,1,1,2,1,6,1,0,0,0,1,1.7986,36.19830000000001,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc2cc(C(=O)O)ccc2n1,10.691142605190224,10.691142605190224,0.294586167800454,-0.9097453703703706,0.7443559645680747,187.198,178.12599999999998,187.063328528,70,0,0.3352029377319025,-0.47763897922996806,0.47763897922996806,0.3352029377319025,1.2857142857142858,2.0714285714285716,2.7857142857142856,16.36554359165538,10.116151421576044,2.030137775831367,-1.9939710510766275,2.140281401081549,-1.953435285686451,5.927136004724328,0.06968303920046552,2.163934641843426,2.6724156651223945,505.61373284730047,10.129392033067417,7.689426827411909,7.689426827411909,6.664703797946449,4.273662012717414,4.273662012717414,3.1652655880348544,3.1652655880348544,2.0753800853249187,2.0753800853249187,1.3605017033801006,1.3605017033801006,-1.8999999999999997,1763.6067331023924,8.687378357904551,3.10383761410049,1.4400251373082418,81.01835571321166,5.106527394840706,0.0,0.0,0.0,0.0,5.9693052879518484,4.983978520947208,4.794537184071822,0.0,0.0,6.06636706846161,31.18920547353706,11.080152209313257,11.080152209313258,9.901064578912528,16.872230220032904,0.0,4.983978520947208,0.0,6.923737199690624,0.0,41.58921482885351,0.0,0.0,0.0,0.0,0.0,0.0,16.059811203739763,0.0,6.923737199690624,16.051916670617278,30.33183534230805,0.0,10.902924932081056,0.0,50.19,5.9693052879518484,4.794537184071822,0.0,0.0,5.563451491696996,16.596852926929518,0.0,18.19910120538483,19.056471336613843,4.983978520947208,5.106527394840706,0.0,0.0,14.9743039808516,9.63541115520282,2.054377834467121,-0.9097453703703706,8.671696900982615,0.0,1.9072888321995465,0.0,0.09090909090909091,14,1,3,0,0,0,1,1,2,2,1,3,1,0,0,0,2,2.2414199999999997,53.43930000000001,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C(=O)O)c1ccccc1,10.821485260770976,10.821485260770976,0.7904166666666668,-0.7974999999999997,0.7258928190493528,164.20399999999998,152.10799999999998,164.083729624,64,0,0.3130463210582282,-0.48059009379291157,0.48059009379291157,0.3130463210582282,1.25,1.75,2.1666666666666665,16.367808719043346,9.849207475781114,2.2809970680049343,-2.184550974394329,2.218579351905982,-2.2769974344740813,5.796450085399106,-0.14200634091465028,2.0562157830946526,3.0600131896297453,275.14987048988627,9.190234444311992,7.242213231911952,7.242213231911952,5.548547388496604,3.8384145455048704,3.8384145455048704,3.2961779681929224,3.2961779681929224,2.030140583563061,2.030140583563061,0.9782948067550101,0.9782948067550101,-1.31,460.5923354132022,8.783545369504209,2.972469744219686,1.471139489419468,71.84692742932317,5.106527394840706,0.0,0.0,0.0,0.0,5.9693052879518484,4.794537184071822,0.0,0.0,0.0,30.33183534230805,19.410925891078243,0.0,5.414990469396779,9.901064578912528,5.9693052879518484,0.0,0.0,0.0,19.262464868778025,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,10.209527653468601,0.0,19.410925891078243,30.33183534230805,0.0,0.0,0.0,37.3,11.384295757348628,4.794537184071822,0.0,0.0,0.0,5.563451491696996,0.0,13.847474399381248,30.33183534230805,0.0,5.106527394840706,0.0,0.0,10.821485260770976,8.894688208616781,0.040601851851852055,-0.7974999999999997,9.22590986394558,0.0,3.398148148148148,0.0,0.3,12,1,2,0,0,0,1,0,1,1,1,2,2,0,0,0,1,2.0488,47.10380000000003,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)Cc1ccc2c(c1)OCO2,10.396823034769463,10.396823034769463,0.010555555555555207,-0.8482728647014361,0.7383677088580421,180.15899999999996,172.09499999999997,180.042258736,68,0,0.3073171597234205,-0.4809861602257261,0.4809861602257261,0.3073171597234205,1.3846153846153846,2.1538461538461537,2.923076923076923,16.696714828655317,10.131089209380058,2.1324336614686508,-1.983800803870292,2.3194739840268817,-1.9896995508186837,5.702365157781408,-0.13572601845967644,2.491686434652128,2.253785777060465,345.46798022455295,9.259148545064338,6.81822283683352,6.81822283683352,6.2540201954234895,3.858470155534533,3.858470155534533,2.7581289012960912,2.7581289012960912,1.792330342914654,1.792330342914654,1.225530535117707,1.225530535117707,-1.71,1415.2778948824089,7.914453388116449,2.9706864560966406,1.5601742758802206,74.7032446204111,14.580253302440804,0.0,11.49902366656781,6.792942306099827,0.0,5.9693052879518484,4.794537184071822,0.0,0.0,0.0,6.06636706846161,17.696185628620217,0.0,6.4208216229260096,19.374790486512627,5.9693052879518484,0.0,0.0,0.0,6.4208216229260096,6.792942306099827,23.762552697081826,0.0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,17.868774988892383,11.21535880699783,0.0,5.563451491696996,18.19910120538483,0.0,0.0,0.0,55.760000000000005,5.9693052879518484,4.794537184071822,0.0,13.213763929025838,11.49902366656781,5.563451491696996,0.0,18.19910120538483,0.0,0.0,14.580253302440804,10.194271541950112,0.0,10.396823034769463,8.543367819349962,0.7192129629629632,0.4506982237339383,5.1375925925925925,0.010555555555555207,0.2141449357520786,0.0,0.2222222222222222,13,1,4,0,1,1,1,0,1,3,1,4,2,0,0,0,2,1.0424,43.904800000000016,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
