,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Cc1ccc(N)nc1,5.315555555555555,5.315555555555555,0.5792592592592596,0.5792592592592596,0.5375123323676085,108.14400000000002,100.08,108.06874825599999,42,0,0.12278807020408118,-0.3837025107366164,0.3837025107366164,0.12278807020408118,1.5,2.25,2.625,14.809159278761948,10.312331806022053,1.8111953654515445,-1.889884038808517,1.9653529362459559,-1.8697606154190836,5.279013839153308,1.2775042709387376,1.769973094021975,3.0324555320336755,145.38833891467198,5.983127663125442,4.756614672258461,4.756614672258461,3.787693700234704,2.469839559209725,2.469839559209725,1.760414715350615,1.760414715350615,0.9342416540402182,0.9342416540402182,0.47924559571743436,0.47924559571743436,-1.0499999999999998,70.79892376087899,5.09388489208633,1.8200415093161888,0.9641693455260449,48.355883911852786,5.733667477162185,5.817862777835028,0.0,0.0,0.0,0.0,0.0,4.983978520947208,0.0,0.0,6.06636706846161,18.55355575984923,6.196843571613076,0.0,0.0,5.817862777835028,0.0,4.983978520947208,0.0,6.923737199690624,5.733667477162185,23.893029200233293,0.0,0.0,5.733667477162185,5.817862777835028,0.0,0.0,4.983978520947208,0.0,6.923737199690624,5.563451491696996,18.3295777085363,0.0,0.0,0.0,38.91,0.0,0.0,0.0,0.0,5.817862777835028,5.563451491696996,0.0,12.263210640074686,12.990104268152233,4.983978520947208,5.733667477162185,0.0,0.0,3.8564814814814814,0.0,6.453703703703703,0.5792592592592596,3.7199074074074074,1.7453703703703702,1.978611111111111,0.0,0.16666666666666666,8,2,2,0,0,0,0,1,1,2,1,2,0,0,0,0,1,0.9722199999999999,33.386399999999995,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCc1ccc(F)cc1F,12.530787037037037,12.530787037037037,0.1032870370370369,-0.5810185185185184,0.6317599624774827,143.13599999999997,136.07999999999998,143.054655664,54,0,0.1300975855621189,-0.3264078459400155,0.3264078459400155,0.1300975855621189,1.3,2.0,2.5,19.14544845737889,10.188320664790133,1.9906194309817293,-1.9632459359704595,2.0708946132951973,-1.9896224809346466,5.173153006780157,0.5723933426836707,1.8787445285930133,3.0699827149988397,235.04775799182192,7.560477932315068,5.272436803963505,5.272436803963505,4.736382105218447,2.8778000257789493,2.8778000257789493,1.9398556412590153,1.9398556412590153,1.2350263744643932,1.2350263744643932,0.6872249600405115,0.6872249600405115,-0.9600000000000002,182.2382192735223,7.150619469026548,2.7488332358362486,1.3029037101971572,57.46730673675876,5.733667477162185,11.634441682091788,0.0,0.0,0.0,0.0,0.0,8.78083009534964,0.0,0.0,6.06636706846161,6.06636706846161,18.17457496607118,0.0,8.78083009534964,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.39699437917361,0.0,0.0,5.733667477162185,8.78083009534964,0.0,0.0,0.0,6.544756405912575,11.634441682091788,5.563451491696996,18.19910120538483,0.0,0.0,0.0,26.02,11.634441682091788,8.78083009534964,0.0,6.544756405912575,5.563451491696996,6.06636706846161,12.13273413692322,0.0,0.0,0.0,5.733667477162185,24.73380857898715,0.0,0.0,0.0,5.472904383975813,-1.15537037037037,3.34537037037037,0.0,0.1032870370370369,0.0,0.14285714285714285,10,2,1,0,0,0,1,0,1,1,1,3,1,0,0,0,1,1.4235,34.24940000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCc1ccc(Cl)cc1,5.6278231292517,5.6278231292517,0.5805246913580245,0.5805246913580245,0.6343479541352415,141.601,133.53699999999998,141.034526936,48,0,0.040569979242644896,-0.3264974925502791,0.3264974925502791,0.040569979242644896,1.2222222222222223,1.7777777777777777,2.2222222222222223,35.49569076319247,10.212248278040942,1.859967114930035,-1.9275143210824057,2.0761283509094697,-1.9390852144661888,6.300781636950205,1.0714688573479418,1.9003726279897948,2.881555877646136,180.61256853719752,6.69023444431199,4.971822600143904,5.7277515461623585,4.325698502695489,2.7721511226076694,3.1501155956168967,1.8305903259317875,2.267026106403772,1.1489595245871915,1.4009358399266767,0.6204891733615701,0.7464773310313125,-0.53,129.22533870330605,6.588063754427392,2.852566645594043,1.6989023562471834,59.43950215778796,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.733674027155736,17.696185628620217,11.567389719653901,0.0,0.0,11.600939890232516,0.0,0.0,5.733667477162185,6.544756405912575,0.0,34.85155307928476,0.0,0.0,5.733667477162185,0.0,0.0,11.600939890232516,0.0,6.544756405912575,0.0,5.563451491696996,24.26546827384644,5.022633313741326,0.0,0.0,26.02,0.0,0.0,0.0,0.0,6.544756405912575,10.586084805438322,0.0,0.0,24.26546827384644,0.0,17.3346073673947,0.0,5.6278231292517,0.0,0.756666666666667,6.467362055933485,0.0,7.512067901234568,0.0,0.5805246913580245,0.0,0.14285714285714285,9,2,1,0,0,0,1,0,1,1,1,2,1,0,0,0,1,1.7987,39.34340000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(CN)cc1,5.400528155706727,5.400528155706727,0.587295918367347,0.587295918367347,0.663323880220267,137.18200000000002,126.09399999999998,137.084063972,54,0,0.11837938519909724,-0.4967682051547309,0.4967682051547309,0.11837938519909724,1.3,1.9,2.3,16.46525006747038,10.19885747551891,1.8870828690511603,-1.987637557088982,2.0949817664040125,-1.9471389010550946,5.262499476283366,0.41439928428714184,2.0481673906012667,2.7972512629697874,169.91749419417292,7.397341225498538,6.00210641759854,6.00210641759854,4.863703305156274,3.19554132179885,3.19554132179885,2.0521988413232424,2.0521988413232424,1.3947563908009193,1.3947563908009193,0.7616192397586306,0.7616192397586306,-1.02,237.58741730974694,7.091358574610246,3.2248465665342856,1.4815230258237757,60.61472327480977,10.470530430962235,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13273413692322,17.696185628620217,6.544756405912575,7.109797541277533,4.736862953800049,0.0,0.0,0.0,5.733667477162185,6.544756405912575,7.109797541277533,29.828919765543436,0.0,5.749511833283905,10.470530430962235,0.0,5.749511833283905,0.0,7.109797541277533,6.544756405912575,0.0,5.563451491696996,24.26546827384644,0.0,0.0,0.0,35.25,0.0,0.0,0.0,0.0,6.544756405912575,11.3129633249809,0.0,7.109797541277533,24.26546827384644,0.0,10.470530430962235,4.972851473922903,0.0,0.0,0.0,6.526268896447468,0.8724074074074077,7.724259259259259,0.0,0.587295918367347,1.6502503779289492,0.25,10,2,2,0,0,0,1,0,1,2,1,2,2,0,0,0,1,1.1539,40.88540000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(N)cn1,5.363316326530612,5.363316326530612,0.5872222222222225,0.5872222222222225,0.5982384187369707,124.143,116.079,124.063662876,48,0,0.21251631435406657,-0.48098233472989727,0.48098233472989727,0.21251631435406657,1.5555555555555556,2.3333333333333335,2.7777777777777777,16.472614290263262,10.422905813528427,1.871888448075253,-1.9529116652740217,2.0576100809006745,-1.8853189470143406,5.3532252665780256,0.39781092711199595,1.9003726279897948,2.881555877646136,182.7542779872738,6.69023444431199,5.164862962722325,5.164862962722325,4.325698502695489,2.58221199490552,2.58221199490552,1.6338940363012926,1.6338940363012926,0.9683597750287067,0.9683597750287067,0.5124815540674861,0.5124815540674861,-1.2500000000000002,129.22533870330605,5.879032258064516,2.3476331360946747,1.3178745267712277,53.469429141359676,10.470530430962235,0.0,0.0,5.879988336435371,0.0,0.0,0.0,4.983978520947208,0.0,0.0,0.0,6.06636706846161,6.06636706846161,18.99402738757417,4.736862953800049,5.687386274683562,0.0,4.983978520947208,0.0,0.0,12.84346501843972,18.3295777085363,0.0,5.879988336435371,10.470530430962235,5.687386274683562,5.879988336435371,0.0,12.093776062224741,0.0,0.0,0.0,18.3295777085363,0.0,0.0,0.0,48.14,0.0,0.0,0.0,0.0,11.567374611118932,0.0,0.0,25.43937524981383,0.0,4.983978520947208,10.470530430962235,4.8025,0.0,3.849537037037037,0.0,6.012205215419501,0.5872222222222225,3.4594907407407405,1.5543981481481481,0.0,1.567979969765684,0.16666666666666666,9,2,3,0,0,0,0,1,1,3,1,3,1,0,0,0,1,0.6723999999999999,35.20139999999999,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1COCCN1,5.006944444444445,5.006944444444445,0.8888888888888888,0.8888888888888888,0.4340574553786442,87.122,78.05,87.068413908,36,0,0.059108072245580935,-0.3788125135797184,0.3788125135797184,0.059108072245580935,1.1666666666666667,1.8333333333333333,2.0,16.476686640061857,10.535272053982553,1.924409716177667,-2.09985128843908,1.7618191945689512,-2.2969287526590167,4.491105718881555,0.10910673940252331,1.719973094021975,2.0,23.019550008653873,4.242640687119286,3.736675415210053,3.736675415210053,3.0,2.284457050376173,2.284457050376173,1.3623724356957945,1.3623724356957945,0.846352670420018,0.846352670420018,0.5157372072107785,0.5157372072107785,-0.08,34.3994618804395,4.088918918918919,2.157216946676406,0.9536924762600438,37.49165363060507,10.05365155780638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.08951281182515,13.213763929025836,4.736862953800049,0.0,0.0,5.316788604006331,0.0,0.0,26.303276740850986,0.0,0.0,0.0,5.316788604006331,0.0,0.0,0.0,26.303276740850986,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,21.259999999999998,0.0,0.0,0.0,0.0,0.0,26.303276740850986,0.0,0.0,0.0,5.316788604006331,4.736862953800049,5.006944444444445,0.0,0.0,3.1597222222222223,0.0,0.0,0.0,0.0,3.833333333333333,0.0,1.0,6,1,2,0,1,1,0,0,0,2,1,2,0,0,1,1,1,-0.3938000000000001,23.688699999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C#Cc1cccc(N)c1,5.438611111111111,5.438611111111111,0.71337962962963,0.71337962962963,0.40139114063993864,117.151,110.09499999999998,117.057849224,44,0,0.03260083851862563,-0.398693208279924,0.398693208279924,0.03260083851862563,1.4444444444444444,2.2222222222222223,2.6666666666666665,14.53467738091454,10.19532836853075,1.837922556303098,-1.9016958847944745,2.0307617757122025,-1.8294122202970315,5.455504801029397,1.6359712672681233,1.8814083105156787,3.11920179192052,244.989702440664,6.69023444431199,4.964101615137755,4.964101615137755,4.325698502695489,2.6487174742355446,2.6487174742355446,1.7698003589195017,1.7698003589195017,1.0532940079733917,1.0532940079733917,0.6284543236939487,0.6284543236939487,-1.42,126.05435680455047,5.7119261213720325,2.2323550716741996,1.2330637040319326,54.50040343716216,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,11.986801387317254,18.19910120538483,11.250837766380558,0.0,0.0,5.687386274683562,0.0,0.0,0.0,0.0,5.733667477162185,29.828919765543436,0.0,12.343784214475903,5.733667477162185,5.687386274683562,0.0,0.0,0.0,0.0,12.343784214475903,5.563451491696996,24.26546827384644,0.0,0.0,0.0,26.02,0.0,0.0,0.0,0.0,5.687386274683562,5.563451491696996,0.0,12.13273413692322,12.13273413692322,5.920434318855644,12.157017372782445,0.0,0.0,0.0,0.0,6.980694444444445,2.4877777777777776,7.251712962962962,5.113148148148149,0.0,0.0,0.0,9,2,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1.2501000000000002,38.78940000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NCc1ccccc1,5.349814814814815,5.349814814814815,0.6397222222222221,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42,0,0.017760762946753984,-0.32649750661782717,0.32649750661782717,0.017760762946753984,1.125,1.75,2.125,14.51506296085289,10.215279233802626,1.7953914174043588,-1.895041586950943,1.9362391652971878,-1.935706558469952,5.1311677344067865,1.0714499353361202,1.9034911933164034,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,0.0,0.0,26.02,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8,2,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1.1453,34.333400000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)Nc1ccccc1,3.3047222222222223,3.3047222222222223,0.5161111111111112,0.5161111111111112,0.6566219386652469,135.20999999999998,122.10599999999998,135.104799416,54,0,0.034159674173177446,-0.38287119829107824,0.38287119829107824,0.034159674173177446,1.1,1.7,2.2,14.890145238520523,10.269418377007648,1.9003657311368296,-2.0772757710985648,2.0516730800321135,-2.0840059926778083,5.42365662237618,0.8996495053986501,1.8810140578490522,2.5872871851548136,179.17957141667623,7.397341225498538,6.464101615137756,6.464101615137756,4.787693700234704,3.604059275497024,3.604059275497024,2.665063509461098,2.665063509461098,1.2291308696101195,1.2291308696101195,0.8677112307509451,0.8677112307509451,-0.9800000000000001,195.6254620163014,7.130864745011085,3.254508450235671,2.094917408045428,62.07609164629483,5.316788604006331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.19910120538483,25.980208536304467,11.729227103831523,0.0,0.0,5.687386274683562,0.0,0.0,0.0,19.88931522852921,5.316788604006331,30.33183534230805,0.0,0.0,5.316788604006331,5.687386274683562,0.0,0.0,6.041840829147961,0.0,0.0,13.847474399381248,30.33183534230805,0.0,0.0,0.0,12.03,0.0,0.0,0.0,0.0,6.041840829147961,0.0,5.687386274683562,0.0,18.19910120538483,31.296997140310797,0.0,0.0,0.0,0.0,3.3047222222222223,1.1921296296296298,0.0,10.73925925925926,0.0,4.263888888888889,0.0,0.3333333333333333,10,1,1,0,0,0,1,0,1,1,1,1,2,0,0,0,1,2.506900000000001,45.200700000000026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNc1ccc(F)cc1,12.195226757369614,12.195226757369614,0.19999999999999973,-0.19999999999999973,0.6037316458516871,125.14599999999999,117.08199999999998,125.064077476,48,0,0.12285907096975546,-0.3881193177646666,0.3881193177646666,0.12285907096975546,1.2222222222222223,1.7777777777777777,2.2222222222222223,19.14213846886492,10.298194033416165,1.8629503481761782,-1.9535324723316598,2.0529659220909577,-1.8561764676010981,5.411966311628864,0.6278156229985014,1.9003726279897948,2.881555877646136,180.61256853719752,6.69023444431199,5.187365549767731,5.187365549767731,4.325698502695489,2.7603494415505323,2.7603494415505323,1.756893024830806,1.756893024830806,1.1328968050576396,1.1328968050576396,0.6165552796758578,0.6165552796758578,-1.05,129.22533870330605,6.075786163522013,2.4852642610035103,1.4202570838806534,53.51174282042785,5.316788604006331,5.817220841045894,0.0,0.0,0.0,0.0,0.0,4.39041504767482,0.0,0.0,0.0,24.26546827384644,12.735058257360752,0.0,4.39041504767482,5.687386274683562,0.0,0.0,0.0,0.0,12.36446058668352,30.082689114892332,0.0,0.0,5.316788604006331,10.077801322358383,0.0,0.0,7.04767198267719,0.0,5.817220841045894,0.0,24.26546827384644,0.0,0.0,0.0,12.03,0.0,4.39041504767482,0.0,5.817220841045894,0.0,5.687386274683562,12.13273413692322,19.18040611960041,0.0,5.316788604006331,0.0,12.195226757369614,0.0,0.0,2.8875,0.9272222222222224,-0.19999999999999973,6.224537037037037,0.0,0.0,1.7988473167044596,0.14285714285714285,9,1,1,0,0,0,1,0,1,1,1,2,1,0,0,0,1,1.8673999999999997,35.94670000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
