,amine_E,amine_ES_root_dipole,amine_ES_root_electronic_spatial_extent,amine_ES_root_molar_volume,amine_E_thermal_correction,amine_dipole,amine_electronegativity,amine_hardness,amine_homo_energy,amine_lumo_energy,amine_molar_mass,amine_molar_volume,amine_N1_APT_charge,amine_N1_ES_root_Mulliken_charge,amine_N1_ES_root_NPA_Rydberg,amine_N1_ES_root_NPA_charge,amine_N1_ES_root_NPA_core,amine_N1_Mulliken_charge,amine_N1_NMR_anisotropy,amine_N1_NMR_shift,amine_N1_NPA_Rydberg,amine_N1_NPA_charge,amine_N1_NPA_core,amine_N1_VBur,acid_E,acid_ES_root_dipole,acid_ES_root_electronic_spatial_extent,acid_ES_root_molar_volume,acid_E_thermal_correction,acid_dipole,acid_electronegativity,acid_hardness,acid_homo_energy,acid_lumo_energy,acid_molar_mass,acid_molar_volume,acid_C1_APT_charge,acid_C1_ES_root_Mulliken_charge,acid_C1_ES_root_NPA_Rydberg,acid_C1_ES_root_NPA_charge,acid_C1_ES_root_NPA_core,acid_C1_NMR_anisotropy,acid_C1_NMR_shift,acid_C1_NPA_Rydberg,acid_C1_VBur,acid_C2_APT_charge,acid_C2_ES_root_Mulliken_charge,acid_C2_ES_root_NPA_Rydberg,acid_C2_ES_root_NPA_charge,acid_C2_ES_root_NPA_core,acid_C2_Mulliken_charge,acid_C2_NMR_anisotropy,acid_C2_NMR_shift,acid_C2_NPA_Rydberg,acid_C2_NPA_charge,acid_C2_VBur,acid_O1_ES_root_Mulliken_charge,acid_O1_ES_root_NPA_Rydberg,acid_O1_ES_root_NPA_core,acid_O1_Mulliken_charge,acid_O1_NMR_anisotropy,acid_O1_NMR_shift,acid_O1_NPA_Rydberg,acid_O1_NPA_charge,acid_O1_NPA_core,acid_O1_VBur,acid_O2_APT_charge,acid_O2_ES_root_Mulliken_charge,acid_O2_ES_root_NPA_Rydberg,acid_O2_ES_root_NPA_core,acid_O2_Mulliken_charge,acid_O2_NMR_anisotropy,acid_O2_NMR_shift,acid_O2_NPA_Rydberg,acid_O2_NPA_core,acid_O2_VBur
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,-250.099329,1.624,605.4829,756.437,0.137539,0.5544,0.10227499999999999,0.148145,-0.25042,0.04587,83.1328,849.062,-0.518503,-0.103673,0.01498,-0.68453,1.99938,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,0.44823788546255505,-537.7336234378711,1.5231880708861083,2012.840059708587,1600.6382860163108,0.21222331212581969,1.519183345576275,0.1359010483535714,0.12134970683674517,-0.2572507551903166,-0.014551341516826213,164.2036,1489.008327895208,0.017195040826022454,-0.3932282260982792,0.018459363103294546,-0.18096158374906585,1.9988114513177395,17.491505269230707,148.288215177264,0.017623398608160264,0.7848326797791941,1.036412551344724,0.21721074616350572,0.06406164714222026,0.8474821164898754,1.9992114513177395,0.2361684773927099,99.65867056043959,22.192178422872946,0.062491151169538975,0.8787334846317278,0.616091973232808,-0.23077204014842506,0.010680636896705453,1.9997000000000003,-0.23319682357111013,538.6733712165719,-58.96335589458025,0.01042192899026857,-0.6152141777436464,1.9997000000000003,0.43221486281007226,-0.6776590930174778,-0.19153679484419184,0.01041952232747091,1.9996714513177396,-0.19090208703566586,164.61137152239797,148.72243241793342,0.010322424962949873,1.9996714513177396,0.439690899105703
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,-250.099329,1.624,605.4829,756.437,0.137539,0.5544,0.10227499999999999,0.148145,-0.25042,0.04587,83.1328,849.062,-0.518503,-0.103673,0.01498,-0.68453,1.99938,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,0.44823788546255505,-652.0585442704008,4.2629594973562845,4846.998034937808,1756.8848027199706,0.24841807649710224,3.124052369253871,0.1410215113679072,0.10162976326477045,-0.24265127463267766,-0.03939174810313674,194.2298,1759.12038716002,-0.4431062446051311,-0.0849014867827846,0.020224682853086495,-0.13525460556143384,1.99883,148.80425915603615,73.75054902181398,0.017969505177888187,0.6365729388215718,1.4278270282108676,0.2139529893139301,0.05331273554745774,0.7969695595661581,1.99924,0.2363934697993561,81.8161823570936,33.26130656671836,0.05317392126098126,0.8449309704325793,0.511098374276716,-0.25014485882149223,0.01041239803480278,1.99973,-0.24498946091440224,517.490585317247,-34.32975936625959,0.010115160173268037,-0.621640110036155,1.99973,0.3777699731921893,-0.7718033814587271,-0.20861313174860494,0.009763953579611146,1.9997,-0.2040604062415377,165.73583846546055,159.51185466990594,0.009604345004620148,1.9997,0.3875525443835421
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,-250.099329,1.624,605.4829,756.437,0.137539,0.5544,0.10227499999999999,0.148145,-0.25042,0.04587,83.1328,849.062,-0.518503,-0.103673,0.01498,-0.68453,1.99938,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,0.44823788546255505,-558.3878546164867,2.638463896266918,1771.326491898593,1214.7032468301093,0.14558362798299418,1.0105378665717484,0.15958497316662884,0.10005133445028619,-0.25963630761691503,-0.059533638716342645,154.1405,1068.272884558049,-0.20657920115492354,-0.09372115487067113,0.02170094393600116,-0.17738625585737677,1.9987999999999997,149.46363108856644,66.50625159080019,0.017677790127543655,0.66858277575474,1.275863848207358,0.16787256886746876,0.054107412553143185,0.7402336665033158,1.9992899999999998,0.23005017222362784,83.1450697500832,32.228933167158885,0.052339946333257656,0.8481271700992006,0.5375375914986905,-0.29064421047112027,0.011067466219885524,1.99973,-0.24037745673947108,546.3874984576045,-58.398838391077675,0.010471104936228173,-0.6142420766592025,1.9997219137517712,0.4181217873163273,-0.7373444217581275,-0.2239872064129862,0.009990188787200233,1.9996980862482285,-0.19778340843940298,166.4880342278121,150.08714095811246,0.009720377574400463,1.9996899999999997,0.40131639166416655
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,-250.099329,1.624,605.4829,756.437,0.137539,0.5544,0.10227499999999999,0.148145,-0.25042,0.04587,83.1328,849.062,-0.518503,-0.103673,0.01498,-0.68453,1.99938,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,0.44823788546255505,-689.8954687220482,1.40320207544851,3561.9201041075203,1639.317818460507,0.23983707166198937,1.3847853887529977,0.13672196034079084,0.1155228629010342,-0.25224482324182507,-0.021199097439756637,212.24759999999998,1839.268481420862,-0.04326495982811596,0.012620637544486625,0.024628309792577935,-0.3807349995949811,1.9988615840715134,9.992260315823406,135.99009630149632,0.023360389435011397,0.7239195630568525,1.0949131199906983,0.18944262402808548,0.060470893783087454,0.8523472547805326,1.9993,0.21013686144296603,95.92201017340048,25.635602341428402,0.058418017716319395,0.8858916367344487,0.5861734013493434,-0.24416198655127658,0.010985938073885928,1.9997015840715133,-0.23912804626258885,535.7802530731421,-58.18828216329807,0.010658017716319388,-0.617425529464487,1.9997,0.4506773546717344,-0.7008618613353101,-0.19305642845951632,0.010300292076258549,1.99968,-0.1888940384708045,180.23578499081603,140.09930500631037,0.010203955790205315,1.99968,0.38854368677743967
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,-250.099329,1.624,605.4829,756.437,0.137539,0.5544,0.10227499999999999,0.148145,-0.25042,0.04587,83.1328,849.062,-0.518503,-0.103673,0.01498,-0.68453,1.99938,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,0.44823788546255505,-763.8309280914838,2.5378370227189833,3548.535216288086,1738.9788571131999,0.22243517602603072,1.2296664265994048,0.12882717173790956,0.09963805186806314,-0.22846522360597268,-0.029189119869846403,226.2312,2243.257468266666,0.019071442046058883,0.015140761824495114,0.024724696751949687,-0.36969666735101525,1.99892,23.181155116428133,145.65180597196664,0.023001327342099004,0.6999642766853348,1.0540871070290907,0.16273473591232235,0.06083943026476532,0.7725651396481115,1.9993067388197012,0.22365983164511652,94.00112937776179,27.58935873939999,0.059665425771339584,0.8773269185179395,0.5757679628955373,-0.24659555376612147,0.011648160097615198,1.9997066305901494,-0.221773728297565,517.2430197390387,-62.46528615899194,0.010906089442389081,-0.6018585396596908,1.9997,0.39154054649240944,-0.6678725502269793,-0.20929334679611317,0.010948268327167245,1.9996733694098507,-0.190748916694714,159.6174589396351,149.41601233113926,0.01058152950746588,1.9996733694098507,0.4384168677082935
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,-250.099329,1.624,605.4829,756.437,0.137539,0.5544,0.10227499999999999,0.148145,-0.25042,0.04587,83.1328,849.062,-0.518503,-0.103673,0.01498,-0.68453,1.99938,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,0.44823788546255505,-657.481778,2.3572,2381.1771,1235.179,0.138688,2.5697,0.14304,0.11847999999999999,-0.26152,-0.02456,172.131,1217.904,-0.063727,0.018334,0.01668,-0.56378,1.99903,36.8416,155.18,0.01588,0.5532567652611705,1.166291,0.15875,0.05513,0.86569,1.99936,0.157043,91.2728,28.2465,0.05486,0.86746,0.5151038388923852,-0.228426,0.0108,1.99971,-0.227054,561.0777,-63.3326,0.01075,-0.60726,1.99971,0.4107929515418502,-0.757418,-0.197421,0.01023,1.99969,-0.197684,180.8112,145.9035,0.01021,1.99969,0.3567495280050346
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,-250.099329,1.624,605.4829,756.437,0.137539,0.5544,0.10227499999999999,0.148145,-0.25042,0.04587,83.1328,849.062,-0.518503,-0.103673,0.01498,-0.68453,1.99938,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,0.44823788546255505,-795.8339041516133,4.0881514669913885,3723.640117755802,1428.52049453045,0.1620445143020698,4.066224099686262,0.15616990465286815,0.12103990465286817,-0.2772098093057363,-0.03513,204.1483,1320.5895093830968,-0.06643105119445902,0.01738807912385745,0.016599904652868168,-0.5682143802436431,1.9990299999999999,37.06385143757473,155.16543863835375,0.015869904652868166,0.5522123287905092,1.1710227703522689,0.1590925281194773,0.05497495232643408,0.8667109534713183,1.99936,0.15679254210390814,91.63783832914677,27.914413596553757,0.05483495232643408,0.8678753337149614,0.5155743337455658,-0.2238616271140256,0.010777530396320888,1.9997099999999999,-0.22829279476117698,561.0099963376107,-63.14969585958245,0.010735047673565916,-0.6082126178467462,1.9997099999999999,0.41049619442320767,-0.7638441188090738,-0.1958478212640552,0.01021,1.99969,-0.197326115897989,180.76505214607516,146.05522358970666,0.0102,1.99969,0.35574458977054724
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-250.099329,1.624,605.4829,756.437,0.137539,0.5544,0.10227499999999999,0.148145,-0.25042,0.04587,83.1328,849.062,-0.518503,-0.103673,0.01498,-0.68453,1.99938,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,0.44823788546255505,-663.476291,3.5772,3138.3129,1460.2379999999998,0.158764,5.82365,0.1885,0.10065999999999999,-0.28916,-0.08784,181.1476,1272.109,-0.08224,0.012786,0.01588,-0.56203,1.99902,36.7562,155.1034,0.01592,0.5530207677784771,1.184117,0.156826,0.05491,0.86815,1.99937,0.158011,91.1267,28.3921,0.05483,0.86772,0.5172278162366268,-0.229723,0.01074,1.99971,-0.226502,562.2744,-64.1058,0.01075,-0.60674,1.99971,0.4104782882315922,-0.772158,-0.196971,0.01022,1.99968,-0.195311,179.2092,146.2741,0.01022,1.99968,0.35604153555695406
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-250.099329,1.624,605.4829,756.437,0.137539,0.5544,0.10227499999999999,0.148145,-0.25042,0.04587,83.1328,849.062,-0.518503,-0.103673,0.01498,-0.68453,1.99938,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,0.44823788546255505,-916.193532898014,0.918638878823526,6818.703924275396,2068.4500742618497,0.26459803612353916,2.0756548791468106,0.15795126785018884,0.08347184052981294,-0.24142310838000178,-0.07447942732037591,268.26839999999993,2115.1135965717285,-0.03226659156558266,0.019800299180220512,0.01579321288419392,-0.5589644683259122,1.9990199999999998,38.11162063434235,155.7890652705973,0.01583052358641449,0.5512894028716803,1.1844896250123336,0.15389502113160747,0.05482900136847547,0.8672974597461371,1.9993699999999999,0.15466237575831174,92.95294359771364,27.059999578319363,0.054826128621105835,0.8675911534856933,0.5167916994586741,-0.2300540562562647,0.010667057500731957,1.9997099999999999,-0.23115792566481344,559.7438370343317,-64.24479999464843,0.010667896953318505,-0.6099627635590232,1.9997099999999999,0.40950299179687366,-0.7873287039065787,-0.20033120033407165,0.010208357436101887,1.9996899999999997,-0.1994479580866405,182.37443124252474,147.05520512334095,0.010208357436101887,1.9996899999999997,0.35648372718595117
C#Cc1cccc(N)c1.COc1cc(C(=O)O)cc(OC)c1OC,-363.052418,5.5052,1256.5587,1014.143,0.134744,2.1542,0.12289,0.09315000000000001,-0.21604,-0.02974,117.15,1216.972,-0.712014,-0.028304,0.0102,-0.62407,1.99926,-0.138897,78.9152,200.5893,0.0114,-0.8126,1.9993,0.37562932662051607,-762.9994991826646,5.172452753038145,3517.3976607077625,1427.2320348500884,0.2278987622081049,1.6674489770426568,0.14015021747906808,0.0954896510797448,-0.2356398685588129,-0.044660566399323275,212.20179999999996,1637.2263877976807,-0.19360534024330717,-0.10060986831926125,0.021284905600112786,-0.19328258583825458,1.9988586226400027,149.98325536589178,70.09812251224193,0.01776418864007331,0.6387910100693368,1.3646224657046233,0.16692131944691638,0.054692754719994366,0.7334375862375073,1.9992613773599972,0.23720502636808793,82.51593538576083,32.63535124698494,0.05309137735999717,0.8497401696802452,0.5139214764007397,-0.29725590790685796,0.01082,1.99973,-0.24359898581782408,524.771530496764,-37.69717168980306,0.01012550943998872,-0.6200795084817821,1.99973,0.3793482907488543,-0.7556893096476001,-0.2258387660320107,0.00987862264000282,1.9997,-0.19543681159947834,164.34909051254698,158.05005219453028,0.00961137735999718,1.99969,0.38679705412193405
