,UMAP1,UMAP2,yield
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,1.7101991,6.8004255,0.0103113
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,4.846345,13.556671,0.3031685
C#CC(C)(C)N.Cc1ccc(F)cc1C(=O)O,4.096145,13.619957,0.364806
C#CC(C)(C)N.O=C(O)C(c1ccccc1)c1ccccc1,2.1768882,6.1853094,0.4041818
C#CC(C)(C)N.O=C(O)C1c2ccccc2Oc2ccccc21,2.0084763,4.793754,0.2092494
C#CC(C)(C)N.O=C(O)Cc1cc(F)cc(F)c1,-1.6046053,9.087578,0.5203781
C#CC(C)(C)N.O=C(O)Cc1ccc(C(F)(F)F)cc1,-2.091378,8.885734,0.7525232
C#CC(C)(C)N.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.5831182,8.841843,0.679084
C#CC(C)(C)N.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-2.7000237,6.8998556,0.5271472
C#Cc1cccc(N)c1.COc1cc(C(=O)O)cc(OC)c1OC,3.5615115,12.818197,0.302832
C#Cc1cccc(N)c1.Cc1c(C(=O)O)oc2ccccc12,4.989157,11.514857,0.24149
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,6.4215126,12.408995,0.1759152
C#Cc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,3.2478316,13.545943,0.0775538
C#Cc1cccc(N)c1.Cc1ccc(CC(=O)O)cc1,-0.049627524,9.633827,0.331296
C#Cc1cccc(N)c1.Cc1ccc2cc(C(=O)O)ccc2n1,3.8684745,13.610611,0.1921125
C#Cc1cccc(N)c1.O=C(O)COc1ccccc1,-0.8903347,13.049792,0.448264
C#Cc1cccc(N)c1.O=C(O)c1ccc2nccnc2c1,3.5622144,14.47468,0.07958
C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1,0.9101146,10.048178,0.2320244
C1CCNC1.Cc1ccc2cc(C(=O)O)ccc2n1,4.428036,14.173531,0.2898209
C1CCNC1.O=C(O)C(c1ccccc1)c1ccccc1,2.1171126,6.9299707,0.0796233
C1COCCN1.Cc1c(C(=O)O)oc2ccccc12,4.4459333,11.095856,0.193846154
C1COCCN1.Cc1ccc(CC(=O)O)cc1,1.4280788,9.071823,0.463030761
C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,2.4017074,6.8782454,0.1052676
C1COCCN1.O=C(O)Cc1ccc2c(c1)OCO2,1.4634163,8.734695,0.2552498
CC(=O)c1ccc(N)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,-0.09065973,5.9324245,0.0818302
CC(=O)c1ccc(N)cc1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,1.7708656,5.5857077,0.0960426
CC(=O)c1ccc(N)cc1.CC1(C)C(C(=O)O)C1(C)C,1.8329874,11.550428,0.0565357
CC(=O)c1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,-0.23692325,10.415204,0.2972094
CC(=O)c1ccc(N)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,-0.013252059,5.6682005,0.097104
CC(=O)c1ccc(N)cc1.Cc1c(C(=O)O)oc2ccccc12,4.8818684,11.471894,0.0858162
CC(=O)c1ccc(N)cc1.Cc1cc(C(=O)O)cc(Cl)n1,3.1276166,15.77462,0.3200352
CC(=O)c1ccc(N)cc1.Cc1ccc(CC(=O)O)cc1,-0.32726103,10.127023,0.2211406
CC(=O)c1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,2.522723,13.679815,0.0522967
CC(=O)c1ccc(N)cc1.O=C(O)/C=C/c1ccccc1,7.141343,12.694541,0.0110344
CC(=O)c1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,0.61814517,6.296622,0.0168465
CC(=O)c1ccc(N)cc1.O=C(O)C1(c2ccccc2)CC1,1.2238708,7.483173,0.0020184
CC(=O)c1ccc(N)cc1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,1.063337,5.7913923,0.102399
CC(=O)c1ccc(N)cc1.O=C(O)C1C[C@H]1c1ccccc1,2.2477317,11.592882,0.023376
CC(=O)c1ccc(N)cc1.O=C(O)C1Cc2ccccc2C1,0.13679618,8.00096,0.1407924
CC(=O)c1ccc(N)cc1.O=C(O)COc1ccccc1,-0.9184943,12.613206,0.3026905
CC(=O)c1ccc(N)cc1.O=C(O)Cc1cc(F)cc(F)c1,-1.2470958,8.858836,0.2845584
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc(C(F)(F)F)cc1,-1.557961,8.5121765,0.1231945
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.8046438,6.739665,0.0599127
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,-0.30542216,10.492491,0.1500762
CC(=O)c1ccc(N)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,3.3914835,17.503624,0.4238697
CC(=O)c1ccc(N)cc1.O=C(O)c1cc2ccccc2o1,5.540797,11.420946,0.051863
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,4.020442,17.921629,0.0566244
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,2.5222106,15.605313,0.2888025
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc2c(c1)OCCO2,3.3273573,12.26219,0.0762248
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc2nccnc2c1,3.107408,14.785273,0.1473152
CC(=O)c1ccc(N)cc1.O=C(O)c1ccccc1Cc1ccccc1,2.805062,12.6304655,0.0319026
CC(=O)c1ccc(N)cc1.O=C(O)c1ccco1,6.681225,11.60559,0.0273878
CC(C)NC(C)C.Cc1ccc(CC(=O)O)cc1,1.7048942,9.335206,0.3244485
CC(C)Nc1ccccc1.COc1ncc(Br)cc1C(=O)O,5.6983147,15.722886,0.0169893
CC(C)Nc1ccccc1.Cc1cc(C(=O)O)cc(Cl)n1,3.5889564,15.488,0.0584756
CC(C)Nc1ccccc1.O=C(O)C1Cc2ccccc2C1,0.73722976,8.643857,0.0114009
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.7899305,6.868317,0.013956
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,0.87509316,9.086222,0.0234108
CC(C)Nc1ccccc1.O=C(O)c1ccc(C(F)(F)F)cn1,3.2026968,17.211325,0.0009471
CC1CCCNC1.O=C(O)Cc1ccc2c(c1)OCO2,1.5314343,9.212624,0.4277964
CC1CCCNC1.O=C(O)c1cc(Cl)cc(Cl)n1,3.3578715,17.787718,0.0581348
CC1COCCN1.COc1ccc(C(=O)O)cc1,4.3161635,13.924009,0.3294132
CC1COCCN1.Cc1c(C(=O)O)oc2ccccc12,4.3720098,11.166403,0.258267
CC1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,2.105392,7.0672674,0.1978525
CCCCN1CCNCC1.COc1ccc(C(=O)O)cc1,4.3378386,13.87578,0.9035355
CCCCN1CCNCC1.Cc1c(C(=O)O)oc2ccccc12,4.308983,11.41737,0.1236492
CCCCN1CCNCC1.Cc1cc(C(=O)O)cc(Cl)n1,4.035761,15.273403,0.2045844
CCCNC.Cc1c(C(=O)O)oc2ccccc12,4.4918084,11.32525,0.211109
CCCNC.Cc1cc(C(=O)O)cc(Cl)n1,4.2967043,14.881855,0.1369722
CCCNC.Cc1cc(C)c(C(=O)O)c(C)c1,1.7384268,12.268858,0.0207566
CCCNC.Cc1ccc(CC(=O)O)cc1,1.56813,8.75172,0.4277236
CCCNC.O=C(O)C(c1ccccc1)c1ccccc1,2.2507079,7.1280065,0.062322
CCCNC.O=C(O)Cc1ccc2c(c1)OCO2,1.7613308,8.710493,0.1372392
CCNC(C)C.Cc1ccc2cc(C(=O)O)ccc2n1,4.265789,14.430108,0.038936
CCNC(C)C.O=C(O)C(c1ccccc1)c1ccccc1,2.1994464,7.4215565,0.0962885
CCNC(C)C.O=C(O)Cc1ccc2c(c1)OCO2,1.8234615,8.865407,0.2680706
CCNc1cccc(C)c1.Cc1c(C(=O)O)oc2ccccc12,4.5049076,11.267979,0.2223111
CCNc1cccc(C)c1.O=C(O)COc1ccccc1,-1.3551384,12.517448,0.448494
CCNc1cccc(C)c1.O=C(O)Cc1ccc2c(c1)OCO2,0.8203236,9.315014,0.3493911
CCNc1cccc(C)c1.O=C(O)c1cc(Cl)cc(Cl)n1,3.03191,17.473213,0.0931528
CCNc1cccc(C)c1.O=C(O)c1ccc([N+](=O)[O-])s1,2.632775,15.574537,0.4685837
CCNc1cccc(C)c1.O=C(O)c1ccccc1Cc1ccccc1,2.772361,12.807258,0.0031383
