can,UMAP1,UMAP2,rate
COC1=CC=C(I)C(C)=C1,1.4785984,16.478039,-2.252135306303045
COC1=C(C=C(I)C(F)=C1)C(O)=O,3.504957,10.4436455,-1.7835676874621
CC1=CC(Cl)=CC(N)=C1I,0.07283184,14.627629,-1.6534926714522644
COC(=O)C1=CC(I)=C(N)C(OC)=C1,1.9556876,14.980136,-1.520252384195133
COC1=C(I)C(C)=CC(Cl)=C1,-0.16377941,14.008257,-1.491353792327095
CC(C)C1=CC=CC(C(C)C)=C1I,1.6740017,17.673853,-1.392481136628752
NC1=CC(I)=CC=C1O,6.623235,18.190163,-1.3477383748927532
CC1=C(C)C(C)=C(I)C(C)=C1C,1.9676404,17.986279,-1.3139113738865014
NC1=C(I)C=CC(Br)=C1,1.3384162,14.155886,-1.2266385441123917
OC(=O)CCC1=CC=CC=C1I,2.8743734,17.70825,-1.1832361704094367
COC1=CC=CC(OC)=C1I,-0.44888067,13.236758,-1.0999812533898117
CC1=CC(C(O)=O)=C(I)C=C1,6.675045,10.810789,-0.966401860002619
CC1=CC(F)=CC(C)=C1I,1.7171221,18.08943,-0.954912566098426
NC1=C(I)C=CC=C1C(O)=O,3.9269822,12.091335,-0.950895682467429
CC1=C(I)C(O)=CC=C1,-0.057260193,14.532363,-0.9235437144000024
CCOC1=CC=C(C=C1)C(O)C1=CC(I)=CC=C1Cl,5.783839,14.893982,-0.9214802916922272
COC(=O)C1=CC=C(N)C(I)=C1Cl,1.6734428,10.5455,-0.901035073878372
CCCNC(=O)C1=CC=CC=C1I,4.3520093,16.913816,-0.8936057504773213
CC(=O)NC1=CC(F)=CC=C1I,2.0124955,13.902013,-0.8787979639249159
CC(=O)NC1=C(F)C=C(I)C=C1,7.424312,16.81702,-0.8752285665333936
COC1=CC=C(I)C(N)=C1,0.6891181,15.116739,-0.845921371266691
ClC1=CC=CC=C1I,2.4116518,9.183144,-0.8418970574556375
CNC1=CC=C(I)C=C1C,6.0963173,18.646471,-0.8310572398642792
COC1=CC(C=O)=CC(I)=C1O,4.000941,11.325454,-0.7879166899210065
CC1=C(I)C=CC(O)=C1,1.4645479,16.283173,-0.7845950796062457
