can,UMAP1,UMAP2,rate
ONC(=O)C1=CC(I)=CC=C1,8.239592,0.29716927,1.2539915778311188
CC(=O)NC1=C(Cl)C=C(I)C=C1,14.445745,3.5649393,1.2541698034413171
CC(=O)C1=CC(I)=C(Br)C=C1,2.0233266,4.715536,1.2590903651114878
FC1=CC(I)=CC=C1,12.161239,5.3947806,1.259538629422343
IC1=CC=C(C=C1)N1CCC(=O)NC1=O,13.619017,2.5211518,1.2615034393324946
NNC(=O)C1=C(O)C=CC(I)=C1,8.505314,2.3204446,1.2632956676514318
NC1=C(C=C(I)C(Cl)=C1)N(=O)=O,3.5271137,4.8972645,1.2665409766637414
OCCC1=CC=C(I)C=C1,13.727287,4.082912,1.2686015549608758
COC(=O)C1=C(N)C(I)=CC(Cl)=C1,6.913953,6.025051,1.2691456525406029
COC1=C(I)C=C(C=C1C(C)(C)C)N1C=CC(=O)NC1=O,8.61461,5.4667683,1.2698735758133446
COC1=CC=C(C=C1I)C(F)(F)F,7.824389,8.089812,1.2701820323445854
CC(=O)NC1=C(C=C(I)C=C1)C(F)(F)F,13.975062,2.8995807,1.271123250577363
NC1=CC(I)=C(F)C=C1Cl,7.350596,9.212082,1.2748864375221187
COC1=C(C=C(I)C(Cl)=C1)C(O)=O,2.8670287,4.911033,1.2758301020490663
CC1=C(Br)C=CC(I)=C1Cl,1.0639055,5.869194,1.2768150529877615
IC1=CC=C(C=C1)N1C=CC=N1,14.11289,3.984254,1.2778928449524594
COC(=O)C1=CC(Br)=CC(C(=O)OC)=C1I,6.0844765,2.4583023,1.279428069014106
NC1=C(C=O)C=C(I)C=C1I,8.183668,2.8402958,1.2811762743724204
OC(=O)C1(CC1)C1=CC=C(I)C=C1,12.836434,3.6176665,1.282206409334553
COC1=CC=CC(OC)=C1I,7.6503944,8.658566,1.2835840808545704
IC1=CC=C(OCCCN2CCOCC2)C=C1,14.131413,1.0136986,1.2850282398145645
OC1=CC(I)=C(O)C=C1I,7.6421704,7.314456,1.287300140668885
CCOC(=O)COC1=CC=CC=C1I,8.473281,7.8195105,1.2873887983139858
CCCNC(=O)C1=CC=CC=C1I,11.352359,6.777918,1.287419757303808
CC1=CC(C=O)=C(I)C=C1,4.873514,3.8091404,1.2875890591751482
CN(C)S(=O)(=O)C1=CC=C(I)C=C1,11.497887,3.0535364,1.288725225968506
NC1=C(I)C=C(F)C(F)=C1,8.892854,8.825434,1.289635948675417
COC1=C(Br)C=C(N)C(I)=C1,8.999552,8.264945,1.2912212333253117
CS(=O)(=O)NC1=CC(=C(C=C1I)C#N)C(F)(F)F,7.984123,6.316106,1.2915061127868146
OC1=CC=C(Cl)C=C1\C=C\C1=C(I)C=CC=C1,7.7255554,3.821947,1.2921443378924888
FC(F)(F)OC1=C(I)C=C(Br)C=C1,8.684467,6.4801254,1.2943954646730855
FC1=CC=CC(I)=C1C#N,5.0522256,0.46075442,1.2946583403355416
ClC1=C(Cl)C(Cl)=C(I)C(Cl)=C1Cl,1.4599184,5.040122,1.2974500586760698
OC(=O)C1=C(I)C=CC=C1N(=O)=O,4.3903966,0.6445954,1.2996924017881
CNC1=CC=C(I)C=C1C,16.276459,3.8982315,1.2997613105659385
FC(F)(F)OC1=CC=C(I)C=C1Br,9.636806,4.8167353,1.3012553195071934
CCOC(=O)C1=CC=C(I)C=C1F,8.83887,-0.9179098,1.302465979980338
[H][C@@](N)(CC1=CC(I)=C(O)C(I)=C1)C(O)=O,7.8554893,5.959341,1.3052932911020858
IC1=CC=C(C=C1)C(=O)C1=CC=CC=N1,9.403202,-0.5035861,1.3069722146010097
NC1=C(C=C(I)C=C1)C(F)(F)F,15.636463,3.834958,1.3085996710124432
COC1=C(I)C(Cl)=C(Cl)C=C1,6.6768126,7.5386786,1.3089319393787475
CC(C)(C)C1=CC=C(I)C(Br)=C1,1.2270848,6.39031,1.3112651604718912
