can,UMAP1,UMAP2,rate
BrC(C1=CC=CC=C1)C1=C(I)C=CC=C1,6.4300337,8.807888,1.3736081349711704
BrC1=C(Br)C=C(I)C(I)=C1,-1.3538601,0.7777033,0.9680189226385988
BrC1=C(Br)C=C(I)C=C1,10.789458,1.6905943,3.056470222958807
BrC1=C(C(I)=CC=C1)N(=O)=O,2.0095923,0.67162454,0.7750899577524921
BrC1=C(C=C(I)C=C1)C#N,5.740792,0.70101124,3.5498997276747963
BrC1=C(C=C(I)C=C1)N(=O)=O,4.937516,0.034974013,2.1998902687136384
BrC1=C(C=CC(I)=C1)C#N,6.804753,0.1536119,1.6035801856354808
BrC1=C(C=CC=C1I)C#N,-0.85570496,1.1833414,-0.2666388184156114
BrC1=C(C=O)C(I)=CC=C1,3.1928058,2.566053,1.5666929800335403
BrC1=C(C=O)C=C(I)C=C1,7.22938,0.67318517,1.3474877375996914
BrC1=C(C=O)C=CC=C1I,-0.13057628,1.0623887,1.1561706185611993
BrC1=C(CC#N)C=C(I)C=C1,10.920458,2.8244443,1.5409513926610412
BrC1=C(I)C(=CC=C1)C#N,-1.2564148,1.0005006,2.119405329748009
BrC1=C(I)C(=CC=C1)N(=O)=O,0.6752278,0.62652403,1.1929921056643424
BrC1=C(I)C=C(C=C1)C#N,-0.9932345,0.7841812,2.0997556584987658
BrC1=C(I)C=C(C=C1)N(=O)=O,1.0298872,0.7553204,1.3681846898708976
BrC1=C(I)C=C(C=O)C=C1,-0.082060136,1.127383,1.106386204314433
BrC1=C(I)C=CC(=C1)C#N,-0.8177366,1.1203732,3.207494590910588
BrC1=C(I)C=CC(=C1)N(=O)=O,1.2123421,0.6198289,1.509580702860265
BrC1=C(I)C=CC(C=O)=C1,0.12819116,0.9948244,3.219932554533675
BrC1=C(I)C=CC=C1N(=O)=O,0.5399232,0.89123595,1.6472659405702887
BrC1=C(OC2=C(I)C=CC=C2)C=CC(=C1)C#N,5.7311583,7.6165166,0.588983640636418
BrC1=CC(=C(I)C=C1)N(=O)=O,2.0096047,0.60106725,2.739006593919349
BrC1=CC(Br)=C(Br)C=C1I,-1.8338162,0.6851746,2.688730729820815
BrC1=CC(Br)=C(I)C(Br)=C1,-2.4253395,0.6301811,0.5409255102380311
BrC1=CC(Br)=C(I)C=C1,-1.8024585,1.0728389,0.7313932725968258
BrC1=CC(C=O)=C(I)C=C1,3.5394065,2.6405861,2.094516971131241
BrC1=CC(C=O)=CC(I)=C1,7.626874,0.56800705,2.822009176977246
BrC1=CC(I)=C(Br)C=C1,-1.795374,1.2363673,2.249760296516078
BrC1=CC(I)=C(Br)C=C1I,-1.5443643,0.8506739,1.6656672877479293
BrC1=CC(I)=C(C=C1)N(=O)=O,2.235017,0.7403101,2.663574420386074
BrC1=CC(I)=C(I)C=C1,-0.85836,0.88240635,2.861457887878906
BrC1=CC(I)=CC(=C1)C#N,6.316306,0.60448813,2.6845954338335685
BrC1=CC(I)=CC(=C1)N(=O)=O,4.77344,-0.15583976,3.099203026156143
BrC1=CC(I)=CC(Br)=C1,10.917285,1.5741059,0.6121043146469112
BrC1=CC(I)=CC(I)=C1,10.5300045,1.8908222,-0.0618430286307982
BrC1=CC(I)=CC=C1C=O,7.610419,0.08316289,2.880721757242556
BrC1=CC2=C(C=CC=C2)C=C1I,-2.1819975,2.940427,1.4227873914794835
BrC1=CC2=CC=C(I)C=C2C=C1,7.56383,1.7685444,1.4566834208489188
BrC1=CC=C(C#N)C(I)=C1,4.145253,1.1030601,2.4141406870295605
BrC1=CC=C(C=C1)C(=O)C1=C(I)C=CC=C1,5.0580707,4.334554,1.5446299667862804
BrC1=CC=C(C=C1)C(=O)C1=CC=C(I)C=C1,8.60078,2.135162,3.43978547729959
BrC1=CC=C(C=C1)C1=CC=C(I)C=C1,10.56095,4.7547145,1.7506581227805338
BrC1=CC=C(C=C1)C1=CC=CC(I)=C1,10.444205,3.5507438,1.2864175118441643
BrC1=CC=C(C=O)C(I)=C1,3.367253,2.4074519,2.735474129177704
BrC1=CC=C(I)C(=C1)C#N,3.997273,1.1927526,1.7157473580216425
BrC1=CC=C(I)C2=C1C=CC=C2,4.412567,4.712052,1.8695073047438904
BrC1=CC=C(I)C=C1,11.776034,2.9308348,0.990084917730842
BrC1=CC=C(I)C=C1CC1=CC=C2OCCOC2=C1,9.303083,6.840198,0.9436000902737226
BrC1=CC=C(OCC2=CC=CC=C2)C(I)=C1,4.942586,7.575823,0.8929738555709985
BrC1=CC=CC(=C1)C1=CC=C(I)C=C1,10.365385,4.396302,1.702122433952375
BrC1=CC=CC(Br)=C1I,-2.4785118,0.48949683,0.9140100396630442
BrC1=CC=CC(I)=C1,12.127796,2.659473,1.4400841318804534
BrC1=CC=CC(I)=C1C#N,4.0299788,0.8552957,0.3808760674710656
BrC1=CC=CC2=CC=CC(I)=C12,4.7280884,3.5703707,0.341785042928867
BrC1=CC=CC=C1I,-1.7694991,2.230702,1.704240611013688
BrC1=CN=C(OC2=CC=C(I)C=C2)N=C1,8.438048,2.1675248,1.7061749392962269
BrCC(=O)C1=C(I)C=CC=C1,3.8178885,2.7411187,1.1133855900198868
BrCC(=O)C1=CC(I)=CC=C1,7.7289658,0.88665575,3.335188430620448
BrCC(=O)C1=CC=C(I)C=C1,8.178176,0.83704585,1.808719211966514
BrCC1=C(Br)C(I)=CC=C1,-2.0022302,1.277665,-0.1776103902165942
BrCC1=C(Br)C=CC(I)=C1,10.463648,1.7588038,1.6267328193713964
