can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_VBur,I1_APT_charge,I1_ES_root_Mulliken_charge,I1_ES_root_NPA_Rydberg,I1_Mulliken_charge,I1_NMR_anisotropy,I1_NMR_shift,I1_NPA_Rydberg,rate
COC1=CC=C(I)C(C)=C1,-396.4180132575,11.3256565639,2296.0451427604,1505.0523175185,0.161030838,3.1467475426,0.1276576804,0.1000713985,-0.2277290788,-0.0275862819,248.063,1294.4068705316,0.2630886342,-0.3271933061,0.0302351165,-0.2330355938,1.9987051165,-0.449751671,63.3583620496,73.9411963093,0.0254706992,-0.2445111431,1.9985651165,0.6609356151,-0.2651070211,-0.2174043145,0.0220420977,0.1268181654,25.1611783649,47.1509283037,0.00507,-2.252135306303045
COC1=C(C=C(I)C(F)=C1)C(O)=O,-644.7503063377,7.7306476429,3186.0298551637,1282.3379184965,0.142337394,5.9212780912,0.1491736522,0.0960827664,-0.2452564186,-0.0530908858,296.0365,1668.5086647376,0.0301016314,-0.5181135674,0.027558799,-0.2665050006,1.998537155,-0.5448035564,70.7763407353,89.2775753716,0.0274172061,-0.3459013196,1.9985368365,0.6428109487,-0.1473600982,0.4025757484,0.0045495991,0.2072256966,26.6571922256,46.7178810006,0.0060898201,-1.7835676874621
CC1=CC(Cl)=CC(N)=C1I,-796.8056545,7.28375,2448.5979,1487.5305,0.1358625,1.9704,0.1272675,0.0961625,-0.22343,-0.031105,267.4965,1618.302,0.148407,-0.356386,0.02956,-0.274245,1.99872,-0.4918025,47.49825,79.6994,0.0242,-0.270245,1.99856,0.6862020138,-0.2389155,-0.283809,0.01875,0.1573325,20.2547,49.1535,0.00516,-1.6534926714522644
COC(=O)C1=CC(I)=C(N)C(OC)=C1,-640.1266807545,12.7496866495,3977.3769465049,1794.5450835774,0.1972385523,3.5022780309,0.128672197,0.0891914825,-0.2178636795,-0.0394807144,307.0874,1597.7354235295,0.201244566,-0.3696509808,0.0315093269,-0.3158877207,1.9987891371,-0.4915969022,58.8796367082,83.4425156053,0.025763599,-0.2766897778,1.9986343766,0.6524935585,-0.2380053623,-0.3410871724,0.0170345391,0.1605675628,25.1449554242,47.6335384355,0.0053415812,-1.520252384195133
COC1=C(I)C(C)=CC(Cl)=C1,-855.903953,7.4225,2801.3207,1529.9455,0.152736,1.1594,0.13328,0.10395,-0.23723,-0.02933,282.5081,1358.0415,0.147779,-0.395212,0.03059,-0.27421,1.9987,-0.524085,58.6226,76.1037,0.02575,-0.27687,1.99856,0.6834487099,-0.191664,-0.163166,0.0219,0.176389,21.2953,48.3494,0.00546,-1.491353792327095
CC(C)C1=CC=CC(C(C)C)=C1I,-478.2890371539,6.1439931836,3255.8065486679,1714.1414659511,0.2750664588,1.8177279956,0.137647353,0.1085030611,-0.2461504141,-0.0291442919,288.1708,1818.7746670613,0.4200380459,-0.3771970305,0.0271787365,-0.2037083877,1.9986599597,-0.4836428095,54.246095049,59.1223594368,0.0244446458,-0.1825320347,1.99853,0.7256770971,-0.2767072078,-0.0938232792,0.0211489749,0.1201448605,20.260515156,48.6439848527,0.0043873479,-1.392481136628752
NC1=CC(I)=CC=C1O,-373.2223274533,14.0540985705,1811.9627902902,1380.3369183864,0.1205063388,3.7031496033,0.12123218,0.0919321243,-0.2131643042,-0.0293000557,235.024,1239.4677735555,0.4452761341,-0.323385567,0.0317713047,-0.2758745219,1.9987967288,-0.4229518461,75.7400399929,78.3584838557,0.0266644868,-0.2394558696,1.99865,0.6264129881,-0.2773892093,-0.3304380465,0.019585095,0.1174372462,28.9149358718,46.1314078395,0.0051661697,-1.3477383748927532
CC1=C(C)C(C)=C(I)C(C)=C1C,-439.038366,10.0357,2783.1939,1703.9785,0.244115,3.12835,0.129985,0.103905,-0.23389,-0.02608,274.144,1500.7515,0.4421805,-0.361478,0.02789,-0.18347,1.99868,-0.482529,55.1453,57.7566,0.02446,-0.18245,1.99854,0.6954059157,-0.3090855,-0.204469,0.02033,0.1055465,21.1838,47.9238,0.00453,-1.3139113738865014
NC1=C(I)C=CC(Br)=C1,-2868.6745825,7.9863,2877.65875,1070.412,0.1062155,2.2166,0.12975,0.09569,-0.22544,-0.03406,297.9207,1427.2165,0.21857,-0.3245905,0.03101,-0.279725,1.99877,-0.456092,63.5014,82.4221,0.02541,-0.281355,1.99862,0.6526510384,-0.2432645,-0.2756195,0.019185,0.1604485,24.63215,47.8051,0.00536,-1.2266385441123917
OC(=O)CCC1=CC=CC=C1I,-509.6866426539,6.013710897,2799.1886032719,1557.1120852015,0.1746399419,2.1774967924,0.1412244908,0.1090504935,-0.2502749842,-0.0321739973,276.0734,1526.0228331812,0.448826563,-0.3373376489,0.0291827434,-0.2414599653,1.998691749,-0.4320070273,79.0663086227,62.8778993339,0.0260033179,-0.209912096,1.9985804318,0.6779388799,-0.2685655199,-0.0620925433,0.024035165,0.1350418922,25.3358959256,46.5297831923,0.0048880626,-1.1832361704094367
COC1=CC=CC(OC)=C1I,-471.560922,9.2518,2313.8354,1264.483,0.166998,3.2425,0.12902,0.1044,-0.23342,-0.02462,264.0624,1653.555,-0.005789,-0.434819,0.03155,-0.29357,1.99873,-0.579684,42.7396,91.3466,0.02605,-0.33477,1.99861,0.6713341724,-0.155301,-0.130852,0.02407,0.169255,21.0138,49.4187,0.00594,-1.0999812533898117
CC1=CC(C(O)=O)=C(I)C=C1,-470.4286465806,3.8850260846,2297.6623892359,1326.0559118712,0.1437958221,4.1744739633,0.1513934907,0.0986185685,-0.2500120592,-0.0527749222,262.0466,1369.2411590262,0.4728724539,-0.4385938633,0.0253672249,-0.2335941508,1.9985788465,-0.4131000825,105.8206087123,67.0777604359,0.0264005728,-0.2048156365,1.9986099256,0.6640555008,-0.2020075836,0.4485635056,0.0048157167,0.1799768809,28.3233687335,44.5673978076,0.0053209012,-0.966401860002619
CC1=CC(F)=CC(C)=C1I,-420.44774,5.2972,1990.7701,1335.124,0.147946,0.0147,0.136335,0.107315,-0.24365,-0.02902,250.0541,1453.802,0.258428,-0.361518,0.02823,-0.22905,1.99866,-0.479934,61.1739,65.498,0.0247,-0.22328,1.99853,0.6932032725,-0.233953,-0.118726,0.02302,0.1452,21.0243,47.824,0.00494,-0.954912566098426
