can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_VBur,I1_APT_charge,I1_ES_root_Mulliken_charge,I1_ES_root_NPA_Rydberg,I1_Mulliken_charge,I1_NMR_anisotropy,I1_NMR_shift,I1_NPA_Rydberg,rate
ONC(=O)C1=CC(I)=CC=C1,-486.4079178156,3.9312738875,2743.2198399485,1263.1258462187,0.1319481133,4.0943307119,0.1526682482,0.0985220278,-0.251190276,-0.0541462205,263.0344,1416.006655317,0.4674237786,-0.4030173908,0.0277654688,-0.2164013516,1.998652049,-0.4172879328,102.1561815595,63.9195769943,0.0278481123,-0.2294770248,1.9986529425,0.6260626489,-0.2510353059,0.2338921834,0.0085909637,0.163170396,29.4694776682,44.7638301775,0.0053367876,1.2539915778311188
CC(=O)NC1=C(Cl)C=C(I)C=C1,-910.0473431341,11.1183472957,3625.9802915583,1342.8493293489,0.1479755842,3.3941128122,0.1375810239,0.0985927245,-0.2361737484,-0.0389882993,295.5069,1577.3549688223,0.3817285044,-0.3041581231,0.0313970699,-0.2448883043,1.99876,-0.406103421,89.8375054139,74.513369424,0.0273008653,-0.2442755569,1.9986300868,0.6252372418,-0.2565519923,-0.1401544651,0.0215483559,0.1629512326,29.8947180634,45.1378177536,0.0054099439,1.2541698034413171
CC(=O)C1=CC(I)=C(Br)C=C1,-2965.8576383691,5.7622091212,3505.9813940355,1888.2049798428,0.128755,3.1328440145,0.1657551518,0.0947977078,-0.2605528596,-0.0709574439,324.9433,1520.9425259797,0.2251839997,-0.4323272224,0.0293747361,-0.2505037565,1.99847,-0.432101905,79.6471783789,60.0656643549,0.0298221042,-0.2585158641,1.998464812,0.6587878548,-0.1724153541,0.197196297,0.00548,0.2156286071,29.193087445,43.711869439,0.00553,1.2590903651114878
FC1=CC(I)=CC=C1,-341.927718,5.5589,1432.5645,992.378,0.089128,1.8008,0.145475,0.108725,-0.2542,-0.03675,222.0005,1079.941,0.54722,-0.321235,0.03047,-0.26849,1.99878,-0.400354,105.5152,64.9894,0.02722,-0.22133,1.99867,0.6266519824,-0.244006,-0.027589,0.02566,0.156852,29.5291,44.7872,0.00533,1.259538629422343
IC1=CC=C(C=C1)N1CCC(=O)NC1=O,-657.1861563434,9.0561944857,5013.1084889714,1875.860329224,0.1946714372,4.1208044122,0.1362989086,0.1029136033,-0.2392125119,-0.0333853053,316.0978,1723.6705650247,0.4463775005,-0.2995660122,0.0312311109,-0.2564801103,1.99876,-0.3985127503,92.6743239256,69.2651110071,0.0270645879,-0.2374445844,1.9986435126,0.6259205876,-0.2726650445,-0.1465198618,0.0236993911,0.1469008413,29.1957731694,45.3805966561,0.0053,1.2615034393324946
NNC(=O)C1=C(O)C=CC(I)=C1,-541.7450464177,3.4753817301,3006.202436584,1448.0429043209,0.1512656659,1.9017176586,0.1439426072,0.0905760743,-0.2345186815,-0.0533665329,278.049,1417.0602498584,0.178226289,-0.3984128535,0.0285696063,-0.1763436174,1.9986402954,-0.4370702338,78.438557638,79.7639723016,0.0276386361,-0.2636337039,1.9986299403,0.6257099564,-0.2358384589,0.2834841567,0.0060542085,0.1533225227,29.4731280587,45.5056169722,0.0053500012,1.2632956676514318
NC1=C(C=C(I)C(Cl)=C1)N(=O)=O,-961.8929400005,7.8733001589,3072.5043251133,1389.0198388853,0.1114519995,4.0902,0.163915,0.070465,-0.23438,-0.09345,298.4673,1637.0545541904,-0.1544374976,-0.4045424923,0.02956,-0.2271749921,1.99847,-0.4350384923,57.236045682,81.4788996291,0.02918,-0.3042149921,1.99847,0.6541063145,-0.1310915077,0.3691564939,0.0046,0.2198849905,28.8460503974,45.1029998411,0.00558,1.2665409766637414
OCCC1=CC=C(I)C=C1,-396.4210994021,8.2714323878,2608.2481933656,1430.6732206241,0.1623283523,2.8642438231,0.1380870955,0.1066109898,-0.2446980853,-0.0314761056,248.063,1466.056940258,0.4695416109,-0.3082691203,0.0308652153,-0.2566332842,1.9987570332,-0.4008969374,90.1847799102,67.9131374439,0.0269179065,-0.2336448682,1.99864,0.6256281719,-0.2845082212,-0.0972673628,0.0251133303,0.1307076461,28.8321698189,45.6459159895,0.0052173924,1.2686015549608758
COC(=O)C1=C(N)C(I)=CC(Cl)=C1,-985.2096998355,2.2799327237,3805.0171557439,1689.0585669976,0.1535360268,2.169174474,0.1399527519,0.0822707705,-0.2222235224,-0.0576819814,311.5063,1872.6294690743,0.2285963048,-0.4730901925,0.0270742281,-0.2672955744,1.998660604,-0.477452847,61.2831662749,79.8940503853,0.025970302,-0.2727215467,1.99866,0.6543518566,-0.2170749574,0.2166093071,0.0056926842,0.1852419407,25.5324830929,47.2492521881,0.005347886,1.2691456525406029
COC1=C(I)C=C(C=C1C(C)(C)C)N1C=CC(=O)NC1=O,-927.4091991191,7.4340946963,7917.3619094478,2628.0014249165,0.3243154708,5.2474309638,0.1445270347,0.0988747012,-0.2434017359,-0.0456523336,400.2154,2462.5694634656,0.3493310473,-0.3999969728,0.0302361784,-0.2869654536,1.9986959085,-0.4833823129,86.1658318303,68.1808893736,0.0270601737,-0.2581197532,1.9986016623,0.6789074788,-0.2128584279,-0.0630864322,0.0194705962,0.1848514394,27.2170001414,45.938005829,0.0054037401,1.2698735758133446
COC1=CC=C(C=C1I)C(F)(F)F,-693.958889,9.2801,3356.20165,1310.644,0.140231,4.7594,0.1393,0.10565,-0.24495,-0.03365,302.0345,1625.8615,0.20535,-0.379486,0.03242,-0.29118,1.99876,-0.49659,76.0575,76.7131,0.02747,-0.27829,1.99863,0.6492290749,-0.1813,-0.13147,0.02298,0.184621,26.0162,46.6637,0.00568,1.2701820323445854
CC(=O)NC1=C(C=C(I)C=C1)C(F)(F)F,-787.360624716,10.364101033,4185.9600842262,1974.5246698995,0.1649872868,2.4580551104,0.1402010687,0.0999977681,-0.2401988368,-0.0402033005,329.0601,1907.8907977856,0.3300279125,-0.312610714,0.0321434107,-0.2627487016,1.9987499685,-0.417917554,91.1531115619,73.6946991476,0.0276924765,-0.2497146011,1.9986202413,0.6248516643,-0.2473051764,-0.1320538545,0.0236879126,0.1678039488,29.7217123297,45.1328225125,0.0054401783,1.271123250577363
NC1=CC(I)=C(F)C=C1Cl,-856.71405,13.963,2410.6849,1337.09,0.099081,3.4266,0.13044,0.09207,-0.22251,-0.03837,271.4602,1108.806,0.425416,-0.432113,0.03273,-0.37824,1.99872,-0.527813,84.8968,80.1759,0.02726,-0.30322,1.99859,0.6435651353,-0.173631,-0.31614,0.01737,0.194307,26.5663,46.7088,0.006,1.2748864375221187
COC1=C(C=C(I)C(Cl)=C1)C(O)=O,-1005.0628400614,8.9485958022,3588.2419057606,1667.5288105948,0.1412445917,7.9929843619,0.1565628714,0.0939319033,-0.2504947747,-0.062630968,312.4911,2143.4174717468,0.0622247158,-0.3958664396,0.0289102869,-0.2221465366,1.9984600194,-0.4134623192,71.6627678005,73.2734993263,0.0291601328,-0.2870611262,1.9984600123,0.6552862767,-0.1420138994,0.4395919535,0.003973979,0.2197327379,28.6576487347,44.8610598986,0.0055499776,1.2758301020490663
CC1=C(Br)C=CC(I)=C1Cl,-3312.109632,6.44,3371.4575,1580.242,0.108942,1.3807,0.14945,0.10231,-0.25176,-0.04714,331.378,1759.815,0.307861,-0.301742,0.03123,-0.26428,1.99857,-0.390333,81.0564,63.6299,0.0293,-0.2557,1.99849,0.6574889868,-0.172757,0.007184,0.0213,0.211695,28.9241,44.4473,0.00544,1.2768150529877615
IC1=CC=C(C=C1)N1C=CC=N1,-467.533829,11.3587,3333.6858,1632.19,0.15233,3.0729,0.135835,0.101365,-0.2372,-0.03447,270.0722,1488.42225,0.42692,-0.300798,0.0313,-0.25833,1.99876,-0.401299,94.289525,68.4086,0.02709,-0.24128,1.99864,0.6246066709,-0.274152,-0.157568,0.02348,0.152565,28.9612,45.3009,0.00534,1.2778928449524594
COC(=O)C1=CC(Br)=CC(C(=O)OC)=C1I,-3268.6708934135,4.7185932803,6116.3069145624,1911.2710155978,0.1820125913,2.5111764705,0.1587736539,0.0992848558,-0.2580585096,-0.0594887981,398.9793,1857.2251248083,0.4442388462,-0.4023254784,0.0256633654,-0.1716212018,1.99854,-0.4059384423,116.3516870306,67.4483148928,0.0266187981,-0.1906929807,1.9985642788,0.7058540991,-0.132766476,0.4766126996,0.0058926442,0.2466478077,26.7438192361,44.0082870147,0.0053986058,1.279428069014106
NC1=C(C=O)C=C(I)C=C1I,-422.086568,7.2246,2363.4813,1482.221,0.117178,4.4589,0.15151,0.07762,-0.22913,-0.07389,372.9316,1292.192,0.108979,-0.385462,0.02825,-0.17591,1.9986,-0.423156,73.1409,80.563,0.02762,-0.26856,1.9986,0.6242133417,-0.245928,0.282337,0.00472,0.165736,29.9269,45.3762,0.00545,1.2811762743724204
OC(=O)C1(CC1)C1=CC=C(I)C=C1,-547.7287226518,5.3773722208,3589.4015573066,1702.5302721316,0.180194408,3.234798205,0.1409001118,0.1076025989,-0.2485027107,-0.0332975129,288.0844,1517.4011951991,0.5001768698,-0.3091275753,0.0306536434,-0.2626398047,1.9987574383,-0.3967991596,95.4456408414,65.4910125846,0.0270817266,-0.2289746506,1.99865,0.624612492,-0.2776123589,-0.0658727455,0.0256851799,0.1425669273,29.2342336848,45.3209637711,0.00526537,1.2822064093345533
COC1=CC=CC(OC)=C1I,-471.560922,9.2518,2313.8354,1264.483,0.166998,3.2425,0.12902,0.1044,-0.23342,-0.02462,264.0624,1653.555,-0.005789,-0.434819,0.03155,-0.29357,1.99873,-0.579684,42.7396,91.3466,0.02605,-0.33477,1.99861,0.6713341724,-0.155301,-0.130852,0.02407,0.169255,21.0138,49.4187,0.00594,1.2835840808545704
IC1=CC=C(OCCCN2CCOCC2)C=C1,-721.9278501024,10.6640985598,9765.8516173099,2378.1197210174,0.3136665681,2.5720378491,0.1259122265,0.0958219514,-0.221734178,-0.0300902751,347.1952,2309.8025477466,0.3160876005,-0.3002888472,0.0316800002,-0.2516464211,1.99876,-0.4119094831,77.5554981568,77.3996372213,0.02666,-0.2584782161,1.99863,0.6248464108,-0.2682623639,-0.2048178942,0.0227343203,0.1285184067,28.9149649921,46.0311291022,0.00526,1.2850282398145643
OC1=CC(I)=C(O)C=C1I,-403.8850133627,0.9907880213,1624.9958770337,1237.0738799865,0.0985239487,0.8527426075,0.1344073129,0.0914598219,-0.2258671348,-0.0429474911,361.9054,1466.9998438285,0.3890928032,-0.424418856,0.031018965,-0.3198618095,1.9987014561,-0.4919684687,69.0741373017,79.7010269639,0.0265289702,-0.2902521022,1.9986143559,0.6498487736,-0.228000054,-0.0436406152,0.0143162946,0.1897260138,25.1103541181,47.6749464197,0.005483683,1.287300140668885
CCOC(=O)COC1=CC=CC=C1I,-624.0717202268,8.8744836398,3731.5956992189,1898.9326918069,0.2091892819,2.2976052473,0.1346629053,0.1043808408,-0.2390437462,-0.0302820645,306.0996,1704.6512065446,0.256116804,-0.3676810028,0.0322581188,-0.2880583196,1.9987402626,-0.4863835177,72.0545988968,77.6940789819,0.0269795224,-0.2784361746,1.9986110898,0.655472835,-0.2024121248,-0.1759814338,0.0222482527,0.1623874479,25.2931777246,47.0445035741,0.0056018769,1.2873887983139858
CCCNC(=O)C1=CC=CC=C1I,-529.0650420265,6.986945895,3388.7060728464,1697.4992864193,0.2169230206,4.9729129143,0.1449951521,0.1085456705,-0.2535408225,-0.0364494816,289.1154,1789.8325205759,0.4712455165,-0.3267609269,0.0295266754,-0.2590944398,1.9986971644,-0.4132840566,95.9080970723,67.8500347286,0.0266864024,-0.2093057884,1.9985911656,0.6701253281,-0.2266424743,-0.0022405813,0.0251549852,0.1642015243,26.6671658075,45.3119259155,0.0052661089,1.287419757303808
CC1=CC(C=O)=C(I)C=C1,-395.2381503833,1.2332294647,2062.7728008322,1417.5184197829,0.1372770029,4.3444831122,0.1634987837,0.089985728,-0.2534845116,-0.0735130557,246.0472,1343.0397346198,0.559295249,-0.4648155151,0.0251107133,-0.2368442901,1.9985690684,-0.435306926,103.2212653204,60.4803188968,0.0261332898,-0.1948489246,1.9986095342,0.6566111833,-0.2332845661,0.2094407373,0.0050460261,0.1751393722,25.6768039342,46.4479398774,0.0050504951,1.2875890591751482
CN(C)S(=O)(=O)C1=CC=C(I)C=C1,-924.8985210738,5.1674487472,3859.7323833861,1821.8972846935,0.1880920459,5.1421529856,0.1544923832,0.105588419,-0.2600808022,-0.0489039642,311.137,1543.6716857539,0.5742403169,-0.3251982694,0.0301408022,-0.2846503894,1.99876,-0.3951760973,116.0461075607,57.2081572245,0.0277444003,-0.2187644548,1.99867,0.6267651413,-0.2538930873,0.0512955626,0.0276419938,0.1812254642,29.627617599,44.3733806066,0.0054144003,1.288725225968506
NC1=C(I)C=C(F)C(F)=C1,-496.396657,8.6421,1996.7573,918.823,0.100151,3.3932,0.128565,0.092195,-0.22076,-0.03637,255.0056,1363.415,0.195044,-0.333522,0.03104,-0.28752,1.99879,-0.467628,60.5001,89.3321,0.0252,-0.28639,1.99864,0.6540276904,-0.202895,-0.283331,0.01848,0.170278,25.2771,47.4232,0.00544,1.289635948675417
COC1=C(Br)C=C(N)C(I)=C1,-2983.0726956569,7.6189754463,3452.6595370009,1343.3536112872,0.1413446936,2.3581695144,0.12351673,0.0885247852,-0.2120415152,-0.0349919448,327.9469,1257.7529143775,0.3317007446,-0.3479913055,0.0315916961,-0.2875617481,1.99878,-0.471723784,65.5754838818,81.6670621723,0.0259626187,-0.2610454795,1.9986281796,0.6536551573,-0.2483281486,-0.3191723002,0.0179410222,0.1623772422,25.350427431,47.4476678201,0.0053654613,1.2912212333253115
CS(=O)(=O)NC1=CC(=C(C=C1I)C#N)C(F)(F)F,-1314.6204994412,5.2435105837,5828.268181603,1961.3500765114,0.1666236811,7.0455007951,0.1673383108,0.0947622336,-0.2621005444,-0.0725760772,390.1183,2050.2750831532,0.1732304436,-0.3655009829,0.0309399472,-0.284351515,1.998718796,-0.4706276196,88.5523875889,73.1267549916,0.0279553907,-0.2584767678,1.9986098035,0.658013442,-0.1654534851,-0.0266151386,0.0202388653,0.2580355068,26.2203263363,45.8300998949,0.0053928079,1.2915061127868146
OC1=CC=C(Cl)C=C1\C=C\C1=C(I)C=CC=C1,-1085.4970648721,3.8654230846,7288.7918872699,2183.9282625837,0.2158172347,4.3050321144,0.1415040739,0.0817932006,-0.2232972746,-0.0597108733,356.5899,2128.098652149,0.4149046692,-0.4453222171,0.0256134221,-0.2088162274,1.9986148261,-0.4449718065,79.848147057,62.6196396834,0.0258812267,-0.2026474413,1.99862,0.6596736144,-0.2569475935,0.1302680979,0.0056846492,0.1482791318,25.2597007806,46.2522868149,0.0051113418,1.2921443378924888
FC(F)(F)OC1=C(I)C=C(Br)C=C1,-3225.326551,4.9195,4626.981,1482.624,0.1014795,1.53585,0.15388,0.10628,-0.26016,-0.0476,366.9038,1569.8375,0.353343,-0.364296,0.0307,-0.30198,1.99866,-0.446834,94.86105,67.71785,0.02832,-0.25997,1.99857,0.6732221523,-0.1491425,0.0626315,0.02378,0.228004,27.41125,45.2067,0.0059,1.2943954646730857
