can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_VBur,I1_APT_charge,I1_ES_root_Mulliken_charge,I1_ES_root_NPA_Rydberg,I1_Mulliken_charge,I1_NMR_anisotropy,I1_NMR_shift,I1_NPA_Rydberg,rate
ClC1=CC(C#N)=C(I)C=C1,-794.401752,7.2967,2412.9275,1406.484,0.088441,5.2234,0.165585,0.096425,-0.26201,-0.06916,263.4649,1607.41,0.411551,-0.435268,0.02632,-0.2317,1.99859,-0.408028,122.3573,61.3201,0.02802,-0.20902,1.99864,0.6543423537,-0.161516,0.52942,0.00396,0.247066,28.7783,43.9351,0.0057,1.865
OC1=C(O)C(I)=CC=C1,-393.0852822354,11.520738337,1569.3415299287,1246.4604393007,0.1071429429,2.8991833728,0.1313477265,0.0966733276,-0.2280210541,-0.034674399,236.0088,1136.6512937502,0.3853728275,-0.38978686,0.0321049058,-0.3873997079,1.9987739037,-0.4885707757,65.4145754225,82.2638705691,0.0260919119,-0.2914678827,1.9986139037,0.6491718531,-0.2265312353,-0.3453831171,0.0163332805,0.1640502112,24.4266518089,47.9198191154,0.0054339169,0.323
IC1=CC=C(C=C1)C(=O)NC1CC1,-527.850120415,7.9386012513,4425.4143189718,1626.1770791999,0.1928681544,4.5668552004,0.1488624897,0.1042720783,-0.253134568,-0.0445904115,287.0996,1701.4986602027,0.5456701786,-0.4390243987,0.0262072604,-0.2951181532,1.998633708,-0.39535306,104.4171964857,60.7647640941,0.0273259648,-0.2217840555,1.99866,0.6253750515,-0.2800611643,0.1061184409,0.0053839704,0.1569885818,29.0539231287,44.9702405113,0.0053099278,1.686
COC1=CC=C(I)C=C1C(O)=O,-545.5779847735,8.8511147546,2904.2135460692,1547.5781484561,0.1496958766,6.7000964978,0.1486864669,0.0929293311,-0.2416157979,-0.0557571358,278.046,1418.2331621048,0.2430621691,-0.4008289158,0.0277406734,-0.1831365843,1.9986020228,-0.4266178431,84.6252372757,75.8347882556,0.0274333763,-0.2614564496,1.9986153352,0.6246779446,-0.2376644691,0.3575594262,0.0039861723,0.1591987633,29.3124295079,45.4257326783,0.0054076142,1.581
OC(=O)C1=C(F)C(I)=CC=C1F,-629.5114786267,4.566274997,2532.6059817426,1141.3302861379,0.0998292354,2.9545647338,0.1582297789,0.0986311214,-0.2568609003,-0.0595986575,284.0008,1266.0848656071,0.1228102666,-0.4909621794,0.0291974257,-0.3180645933,1.9986149859,-0.5389295879,81.8927291661,83.4626565146,0.0275908419,-0.3356831386,1.99858001,0.6429363043,-0.1297952488,0.2922122065,0.0164078298,0.2197260784,26.8013685784,46.1561512293,0.0060466971,1.22
COC1=CC(I)=CC(=C1N)N(=O)=O,-616.813538,13.1127497351,3193.2445343704,1426.8391091629,0.155206,5.9805695336,0.15267,0.06647,-0.21914,-0.0862,294.0484,1590.9583874922,0.2152630339,-0.4366980042,0.02881,-0.19989,1.99865,-0.4609670042,76.899902861,82.9229484635,0.02784,-0.2520149947,1.99864,0.6246460455,-0.2264985048,0.2706709936,0.00487,0.1637859989,29.9883497351,45.315200106,0.0054,2.106
COC1=CC=C(I)C(=C1)N(=O)=O,-561.4949109755,13.3762559261,2726.2110654937,1451.7965953217,0.1369782159,6.2459504312,0.1675115179,0.0764701601,-0.243981678,-0.0910413579,279.0338,1391.1007508313,0.2494249634,-0.419778439,0.0270940804,-0.2350132652,1.99851,-0.4289931301,97.3500453984,81.9236311836,0.0271224001,-0.2666548895,1.99855,0.6625399617,-0.1186102323,0.4588415127,0.0043403996,0.2329348502,29.1082086739,44.2879227974,0.00565448,1.356
COC(=O)C1=CC(I)=C(N)C(Br)=C1,-3096.3387349531,6.3321335221,4624.9699459743,1744.9567823477,0.1535001406,2.7568826752,0.1382078906,0.0930827344,-0.231290625,-0.0451251562,355.9573,1650.4210397961,0.1634404234,-0.364364187,0.030640625,-0.2751570325,1.9987851562,-0.4807903428,60.8032798926,81.5501872213,0.0261164062,-0.2729210939,1.9986351562,0.6535741334,-0.226163546,-0.2156361723,0.0161768748,0.1853272661,26.4606234484,46.6956437552,0.00534,0.692
FC(F)(F)C1=CC(I)=C(Cl)C=C1,-1039.036378,3.6467,3234.9405,1396.63175,0.096433,1.4386,0.156065,0.107545,-0.26361,-0.04852,306.4534,1371.98525,0.261695,-0.326239,0.0308,-0.29241,1.99857,-0.403975,88.7792,63.2864,0.02952,-0.2578,1.9985,0.6552863436,-0.144524,0.099518,0.02394,0.224762,28.7013,44.2518,0.00552,1.416
CON(C)C(=O)C1=CC=C(I)C=C1,-564.8982802646,7.6622520489,3725.7808919943,1675.0252188213,0.1904928842,4.3431952428,0.1470148635,0.1044038336,-0.2514186971,-0.0426110299,291.088,2095.128113314,0.5596947972,-0.313387786,0.0304430967,-0.2646363889,1.9987565073,-0.3927728244,103.2104041796,61.2162664807,0.0273003379,-0.2200503313,1.99866,0.6283939274,-0.2823688632,-0.0295523658,0.0258419551,0.1532781221,29.0850910992,44.990422379,0.0053004311,1.763
