can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_VBur,I1_APT_charge,I1_ES_root_Mulliken_charge,I1_ES_root_NPA_Rydberg,I1_Mulliken_charge,I1_NMR_anisotropy,I1_NMR_shift,I1_NPA_Rydberg,rate
OC1=C(F)C=C(I)C=C1,-417.0896939842,9.1036088898,1778.7286409119,1323.5998324558,0.094670943,1.5862176879,0.1350114061,0.099849233,-0.2348606391,-0.035162173,237.9999,1170.6969344183,0.350949146,-0.3086108671,0.0315613274,-0.2512567749,1.9987887414,-0.4171158819,85.9675882107,78.9691418715,0.0267137758,-0.2534905014,1.9986587414,0.624469141,-0.2288493571,-0.1640459856,0.0224473451,0.1526297659,29.5553789537,45.3626948897,0.0053874828,3.123
COC(=O)C1=CC(C)=C(I)C=C1,-509.6768731109,5.354714848,3365.1481281332,1500.3719282964,0.1732433042,2.2699358235,0.1552818235,0.1004366302,-0.2557184537,-0.0548451933,276.0734,1648.3336271335,0.5321036485,-0.3401642538,0.0289351933,-0.2477990081,1.99871,-0.4295494593,94.0139000429,54.4076019815,0.0262548067,-0.2015603866,1.9986,0.6609502832,-0.2782747894,-0.0208813013,0.0259884537,0.1623400875,25.2851382027,45.8585747698,0.00514,3.1220000000000008
OC1=C(I)C=C(C=C1I)C#N,-420.887922,1.8082,2194.8714,1439.923,0.093539,4.7314,0.15933,0.09591,-0.25524,-0.06342,370.9158,1556.674,0.22348,-0.424989,0.03029,-0.27985,1.99871,-0.487453,85.4865,76.9755,0.02791,-0.28672,1.99862,0.6483637508,-0.16423,0.12342,0.01192,0.224778,28.0661,45.1666,0.00573,3.1220000000000008
BrC1=C(I)C(=CC=C1)C#N,-2905.528167,8.0184,2487.0023,1250.381,0.088176,5.6202,0.167175,0.099385,-0.26656,-0.06779,307.9159,1250.381,0.264488,-0.3439,0.03029,-0.24758,1.99852,-0.429713,99.6879,56.2912,0.02989,-0.22758,1.99847,0.6851793581,-0.097744,0.127118,0.02157,0.280701,27.928,43.0428,0.00574,3.1220000000000008
OC1=CC=C(C=C1I)C1=CC=C(C=C1)C#N,-640.8768857453,17.9008231931,5902.7427703194,2020.3140110015,0.1888242452,6.1838953764,0.1474149035,0.0856184133,-0.2330333169,-0.0617964902,321.1168,1685.6714509177,0.2211518597,-0.4572554869,0.0289682692,-0.2571784948,1.9986441346,-0.4912919582,71.3492032451,79.298967266,0.0269569714,-0.289286963,1.9986079327,0.6499828284,-0.2188227695,0.2368879997,0.0070129791,0.1743040907,25.5122028407,47.0987906688,0.0055500482,3.1200000000000006
FC1=CC=CC(I)=C1Br,-2912.5371345,5.597,2025.5731,1474.3755,0.080533,3.32205,0.15577,0.10376,-0.25953,-0.05201,300.8966,1194.862,0.353005,-0.3499905,0.0303,-0.260545,1.99857,-0.424014,85.1964,59.9062,0.029245,-0.248435,1.99851,0.6563089994,-0.154958,0.103664,0.02148,0.213149,29.213,43.81145,0.00556,3.1200000000000006
IC1=CC=CC=C1I,-253.55454,6.0121,1426.9564,1218.65,0.087473,3.073,0.158035,0.096655,-0.25469,-0.06138,329.9066,1117.096,0.277779,-0.297886,0.02998,-0.23145,1.99847,-0.349684,74.9958,58.0304,0.02972,-0.25369,1.99844,0.6598489616,-0.186046,0.099265,0.01307,0.185264,30.4261,43.0709,0.00547,3.1200000000000006
NS(=O)(=O)C1=CC=CC=C1I,-846.400209928,7.7622037102,2210.7070406817,1600.3918468873,0.1284119296,5.934203647,0.1543891176,0.1081666324,-0.26255575,-0.0462224852,283.0834,1509.7800994176,0.4242417381,-0.311494955,0.0319173295,-0.2783022958,1.9986305765,-0.3884724581,113.4711358965,67.662709005,0.0296124828,-0.2244718171,1.9985405765,0.6780411245,-0.174637788,0.0697219438,0.0237533572,0.2073694408,27.6049281899,44.2232121259,0.0053673646,3.1180000000000003
COC(=O)C1=C(I)C=CC=C1OC,-584.8101798437,14.2196255117,2875.429981814,1791.7457892171,0.1786567278,4.6235003739,0.1409543459,0.1026614067,-0.2436157526,-0.0382929391,292.0728,1629.4292555544,0.5972893411,-0.3320992806,0.0317079852,-0.2851686789,1.9987590341,-0.4289124885,102.6031909331,68.4772003766,0.0272161366,-0.1968188422,1.9986002415,0.6649348611,-0.234600529,-0.2483335059,0.0177907155,0.1774317514,27.5206024837,45.5377841271,0.0054392756,3.1180000000000003
CC(C)(C)OC(=O)N[C@@H](CC1=CC=C(I)C=C1)C(O)=O,-910.428899284,7.0638068878,7459.6799837161,2495.0846655668,0.3293021205,3.4258803179,0.1400135377,0.1076013725,-0.2476149102,-0.0324121652,391.205,2637.2495876404,0.480267074,-0.3100083239,0.030779675,-0.2611713947,1.9987503067,-0.3988815547,95.023900138,66.3702760387,0.0270476421,-0.2311860392,1.9986408262,0.640068015,-0.277571723,-0.0702391266,0.0255666273,0.1376484255,29.1371470347,45.4979046419,0.0052416043,3.1180000000000003
