can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_VBur,I1_APT_charge,I1_ES_root_Mulliken_charge,I1_ES_root_NPA_Rydberg,I1_Mulliken_charge,I1_NMR_anisotropy,I1_NMR_shift,I1_NPA_Rydberg,rate
BrC(C1=CC=CC=C1)C1=C(I)C=CC=C1,-3083.4096473267,6.0774537342,4469.7727728319,2208.5167764282,0.2040527884,2.8966662174,0.1516047027,0.1029993438,-0.2546040466,-0.0486053589,373.0305,2067.6838072543,0.4512265558,-0.3421695646,0.0292739391,-0.2384243463,1.9986736541,-0.4283539289,84.1968149597,62.6031088128,0.0267208046,-0.2039532551,1.9985746655,0.6844938931,-0.2459838265,0.0307558581,0.0235596979,0.1662941522,25.0781816776,45.9404776842,0.0050624932,0.4877869712034375
BrC1=C(Br)C=C(I)C(I)=C1,-5394.777171,3.865,4607.8001,2190.935,0.070125,0.5089,0.16378,0.09174,-0.25552,-0.07204,487.6988,1682.325,0.284735,-0.308251,0.03091,-0.2322,1.99846,-0.35719,84.3962,57.7823,0.03066,-0.25054,1.99844,0.659219635,-0.163304,0.128276,0.01203,0.229804,31.7218,42.3365,0.00567,1.6119966466458528
BrC1=C(Br)C=C(I)C=C1,-5383.980108,3.7477,3374.4798,1640.7465,0.079239,1.86485,0.150375,0.103035,-0.25341,-0.04734,361.8022,1586.0545,0.501284,-0.332066,0.03053,-0.25129,1.99874,-0.403793,107.2662,65.4011,0.02787,-0.22995,1.99864,0.6264946507,-0.239397,0.045092,0.0216,0.186868,30.2602,44.5242,0.00549,1.8455484127678503
BrC1=C(C(I)=CC=C1)N(=O)=O,-3017.699502,10.0837,2720.7408,1308.332,0.093188,6.1187,0.177595,0.089005,-0.2666,-0.08859,327.9037,1207.691,0.385357,-0.39585,0.02928,-0.22591,1.99852,-0.413823,111.3481,73.0935,0.02882,-0.24111,1.99855,0.667872876,-0.138246,0.361878,0.00562,0.257586,29.0735,44.3839,0.00583,2.432497478840541
BrC1=C(C=C(I)C=C1)C#N,-2905.530892,9.7114,3016.5063,1086.079,0.088288,5.4836,0.16457,0.09511,-0.25968,-0.06946,307.9159,1391.538,0.400881,-0.420353,0.02763,-0.21639,1.99862,-0.4191,115.883,64.9726,0.0283,-0.24385,1.99864,0.6258653241,-0.211125,0.465694,0.0037,0.206043,30.1351,44.1933,0.00555,2.086188717685036
BrC1=C(C=C(I)C=C1)N(=O)=O,-3017.703953,13.6462,3242.6032,1509.1415,0.093236,4.7489,0.17935,0.08163,-0.26098,-0.09772,327.9037,1356.532,0.405735,-0.41929,0.02823,-0.19343,1.99862,-0.430508,114.509,64.3446,0.02844,-0.2402,1.99865,0.6238200126,-0.207366,0.488586,0.00378,0.211365,30.1628,44.0316,0.00559,2.472192280342028
BrC1=C(C=CC(I)=C1)C#N,-2905.531509,8.8599,2871.5377,1194.838,0.088281,5.0047,0.16733,0.09788,-0.26521,-0.06945,307.9159,1626.308,0.637111,-0.455876,0.02702,-0.32431,1.99865,-0.392941,122.3589,56.3665,0.0282,-0.21179,1.99867,0.6269666457,-0.244344,0.371668,0.00592,0.212726,30.0702,43.5824,0.00554,2.156689180965104
BrC1=C(C=CC=C1I)C#N,-2905.528782,6.3979,2339.6786,1343.838,0.088207,6.0398,0.166755,0.098845,-0.2656,-0.06791,307.9159,1311.061,0.207546,-0.367143,0.03069,-0.28563,1.99853,-0.438137,90.3669,58.2856,0.03022,-0.26011,1.99848,0.65874764,-0.139895,0.140449,0.0219,0.237248,29.8476,43.1131,0.00561,1.5385333362261813
BrC1=C(C=O)C(I)=CC=C1,-2926.5839569349,2.4082149971,2669.3616659319,1122.6186934016,0.0992089613,4.9228424988,0.1693591126,0.0889221795,-0.2582812922,-0.0804369331,310.9165,1314.6716061808,0.5734864866,-0.4652615754,0.0256607993,-0.2222100428,1.998602743,-0.4317924901,116.7757155924,53.6839502879,0.0267730458,-0.1796689437,1.998637581,0.6624169024,-0.2083942942,0.2510013669,0.0048466303,0.2023484988,27.2681851073,44.829584054,0.0050367606,1.8591240582521156
BrC1=C(C=O)C=C(I)C=C1,-2926.5917460778,1.9327248459,3057.5831841348,1434.8580114632,0.0992706096,3.7835358384,0.1688733698,0.0874924266,-0.2563657964,-0.0813809431,310.9165,1278.6997601037,0.4139814673,-0.4073353192,0.0277283892,-0.2295158892,1.9986287096,-0.4095603473,105.5757492301,64.2630625474,0.0279829072,-0.2415093683,1.9986387096,0.6256673877,-0.2423001114,0.169108779,0.0054251617,0.1862433964,29.5892826044,44.6154542214,0.0054738713,2.3667355294581545
BrC1=C(C=O)C=CC=C1I,-2926.5887014342,1.420154146,2436.5781067735,1359.3676735056,0.0992328149,3.160075185,0.170716381,0.0908144385,-0.2615308195,-0.0799019425,310.9165,1170.548425028,0.2047166528,-0.4242658442,0.0294044765,-0.248362459,1.9984915781,-0.4263445922,77.671378977,57.1228982055,0.0299473748,-0.2605038851,1.9984907891,0.6602381127,-0.1658294396,0.2046310011,0.0054452656,0.2176202993,28.776633257,43.7340901218,0.0054907891,1.5824383606596957
BrC1=C(CC#N)C=C(I)C=C1,-2944.789305,5.2149,3377.8298,1755.843,0.118154,4.7025,0.14667,0.10659,-0.25326,-0.04008,321.9427,1534.232,0.475986,-0.322992,0.03115,-0.26859,1.99875,-0.406496,106.1034,65.0957,0.02796,-0.22971,1.99864,0.6267306482,-0.244613,-0.012263,0.0252,0.178331,29.771,44.7732,0.00542,1.558936643475254
BrC1=C(I)C(=CC=C1)C#N,-2905.528167,8.0184,2487.0023,1250.381,0.088176,5.6202,0.167175,0.099385,-0.26656,-0.06779,307.9159,1250.381,0.264488,-0.3439,0.03029,-0.24758,1.99852,-0.429713,99.6879,56.2912,0.02989,-0.22758,1.99847,0.6851793581,-0.097744,0.127118,0.02157,0.280701,27.928,43.0428,0.00574,1.3415058129298294
BrC1=C(I)C(=CC=C1)N(=O)=O,-3017.700213,7.2627,2874.958325,1129.693,0.093099,4.8252,0.18031,0.08657,-0.26688,-0.09374,327.9037,1357.25675,0.24302,-0.45499675,0.0288,-0.30415,1.99836,-0.427038,94.951225,66.435725,0.02995,-0.26493,1.9984,0.6938325991,-0.050587,0.49321775,0.00461,0.290557,27.7754,43.229,0.00581,0.5978181869092578
BrC1=C(I)C=C(C=C1)C#N,-2905.530369,3.5299,2814.3828,1535.268,0.088216,3.3519,0.16637,0.09891,-0.26528,-0.06746,307.9159,1291.02,0.2026,-0.35934,0.03077,-0.2898,1.99853,-0.431379,91.9246,59.4666,0.03018,-0.2615,1.99848,0.6581183134,-0.137953,0.128736,0.02215,0.240274,29.6057,43.2019,0.00563,1.4586928303446718
BrC1=C(I)C=C(C=C1)N(=O)=O,-3017.710875,14.3517,3367.679225,1454.575,0.093174,3.5474,0.18496,0.08309,-0.26805,-0.10187,327.9037,1377.568,0.17347,-0.45203,0.02887,-0.23833,1.99845,-0.443827,89.9022,58.8154,0.03028,-0.26033,1.99849,0.6581183134,-0.133108,0.663084,0.00273,0.246789,29.7649,42.9529,0.00565,2.195983606154709
BrC1=C(I)C=C(C=O)C=C1,-2926.5924089957,4.3161979177,2858.9269218297,1548.4070037221,0.0991067842,2.5236696617,0.1703962195,0.0921022282,-0.2624984477,-0.0782939913,310.9165,1215.6806650813,0.2037360212,-0.4261008755,0.0294088859,-0.2532102771,1.9984753597,-0.4255814347,83.3661303547,59.3382631568,0.0298420876,-0.2609827098,1.99847,0.6577029032,-0.1643036651,0.206488901,0.005513921,0.2224122902,29.1424417295,43.5683950179,0.0055592807,1.65021564688743
BrC1=C(I)C=CC(=C1)C#N,-2905.530137,1.7573,2741.8508,1551.557,0.088238,3.6548,0.16623,0.09865,-0.26488,-0.06758,307.9159,1373.217,0.369557,-0.339032,0.03034,-0.26991,1.99855,-0.411269,99.1402,52.4341,0.02973,-0.24486,1.99849,0.6581183134,-0.173783,0.121721,0.0221,0.242877,28.873,43.0647,0.00564,1.7161916711731744
BrC1=C(I)C=CC(=C1)N(=O)=O,-3017.710612,14.7631,3251.4411,1445.90775,0.093194,3.8725,0.18569,0.0836,-0.26929,-0.10209,327.9037,1419.933,0.420286,-0.440549,0.02942,-0.29763,1.99847,-0.413139,104.5739,48.7704,0.02977,-0.24122,1.9985,0.6571743235,-0.17534,0.465677,0.005,0.2542,28.3465,42.886875,0.00567,1.949958775611897
BrC1=C(I)C=CC(C=O)=C1,-2926.5920536348,4.361847896,2777.5738266046,1381.5876561305,0.0991663959,2.6625999095,0.1707017268,0.0922464471,-0.2629481739,-0.0784552797,310.9165,1597.6259287407,0.4095432043,-0.4452170927,0.0283592385,-0.293686799,1.99849,-0.4138023172,95.7604457895,51.330466043,0.02939,-0.2404378167,1.9985,0.6565937123,-0.192178507,0.1867587127,0.00553,0.2316615323,28.3937406352,43.3107649947,0.00559,1.4775300968102418
BrC1=C(I)C=CC=C1N(=O)=O,-3017.701048,9.1104,2641.400175,1422.3445,0.093107,5.2721,0.180285,0.085645,-0.26593,-0.09464,327.9037,1454.67075,0.214423,-0.435792,0.02991,-0.22663,1.99852,-0.443254,87.089,55.9565,0.03023,-0.25324,1.99852,0.6600849591,-0.138881,0.382764,0.00485,0.237272,29.8507,42.9091,0.00557,2.176045782855977
BrC1=C(OC2=C(I)C=CC=C2)C=CC(=C1)C#N,-3211.4710956869,11.7502501277,5951.7739756417,2170.8772448965,0.179409096,5.404037086,0.1540412239,0.1003504725,-0.2543916964,-0.0536907514,400.0129,2220.8843326439,0.2758661437,-0.3651219584,0.0299587082,-0.3011920287,1.9986330287,-0.4461678089,88.2585437817,71.5252110745,0.0271887783,-0.2746524753,1.9985527785,0.6835349635,-0.1740219584,0.0866100988,0.023486229,0.1994902268,24.7217418591,46.3414404559,0.0056227547,0.5380065427944217
BrC1=CC(=C(I)C=C1)N(=O)=O,-3017.703325,11.2969,3446.956825,1455.131625,0.093166,4.4281,0.179215,0.082175,-0.26139,-0.09704,327.9037,1489.470875,0.401288,-0.435793,0.02639,-0.26619,1.99851,-0.410101125,120.4640125,69.9353,0.02791,-0.24359,1.99857,0.6632315922,-0.117734,0.595560875,0.00349,0.263819,29.4095,43.4459,0.0057,1.8256536204172795
BrC1=CC(Br)=C(Br)C=C1I,-7954.589498,3.7755,5191.6143,2011.898,0.070513,0.3272,0.158045,0.098055,-0.2561,-0.05999,440.6983,2011.898,0.291558,-0.346336,0.03116,-0.25615,1.99852,-0.420619,87.575,60.921,0.02996,-0.25527,1.99846,0.659219635,-0.156708,0.07912,0.01783,0.242211,30.1302,43.3882,0.00569,1.27682964359168
BrC1=CC(Br)=C(I)C(Br)=C1,-7954.587513,4.4463,5212.8983,1647.475,0.070402,0.9905,0.16325,0.09569,-0.25894,-0.06756,440.6983,1523.914,0.056774,-0.364387,0.03085,-0.26487,1.99834,-0.436085,65.1157,57.2182,0.03134,-0.28808,1.99831,0.6872246696,-0.091855,0.188153,0.01728,0.27407,28.4165,42.5364,0.00578,0.5188689487780354
BrC1=CC(Br)=C(I)C=C1,-5383.979481,5.5009,3698.4085,1028.472,0.07919,1.683,0.15294,0.10092,-0.25386,-0.05202,361.8022,1485.571,0.252799,-0.336897,0.03063,-0.26263,1.99853,-0.417788,84.9437,61.5241,0.02934,-0.26365,1.99847,0.6567023285,-0.167909,0.063214,0.02049,0.220177,29.1758,43.9411,0.0056,1.092070201967041
BrC1=CC(C=O)=C(I)C=C1,-2926.591091501,2.6940206146,3170.6303436672,1501.1464990117,0.0992396949,3.8090738678,0.1695108046,0.0876425671,-0.2571533717,-0.0818682374,310.9165,1522.1788152628,0.5506326059,-0.4566261882,0.0256078696,-0.2382326494,1.9985692846,-0.4277377956,116.7800202576,58.3768856939,0.026682909,-0.1975903791,1.9986092846,0.6572308507,-0.2097121556,0.2477455694,0.0051520989,0.2065717528,26.2567297826,45.8225900331,0.0051986166,1.89323439369936
BrC1=CC(C=O)=CC(I)=C1,-2926.5937249147,3.3770271447,3131.4404651894,1274.0083392384,0.0991993713,2.6092889347,0.1710568564,0.0911062844,-0.2621631409,-0.079950572,310.9165,1485.2116872278,0.4688425618,-0.4167222207,0.0279465731,-0.2203135833,1.99865,-0.41650996,108.355701822,62.7787621127,0.0282837183,-0.2278143119,1.99866,0.6271958931,-0.2340286768,0.1749650696,0.005415429,0.1922221333,30.3080035086,44.0996678902,0.005460286,2.6105264699810107
BrC1=CC(I)=C(Br)C=C1,-5383.9795195,6.1624,3879.74865,1384.108,0.079186,1.46795,0.15514,0.10004,-0.25518,-0.0551,361.8022,1644.094,0.316197,-0.339123,0.031155,-0.266215,1.99855,-0.4196285,84.34195,60.0375,0.02965,-0.249435,1.99847,0.6588263059,-0.162098,-0.019395,0.017875,0.2239405,29.8428,43.4663,0.00559,1.3466614042876195
BrC1=CC(I)=C(Br)C=C1I,-5394.777623,0.0,3856.2563,1499.728,0.070137,0.0,0.160545,0.094525,-0.25507,-0.06602,487.6988,1542.578,0.313541,-0.375618,0.03112,-0.23576,1.99848,-0.421916,89.1171,60.0421,0.03013,-0.25313,1.99846,0.6565449969,-0.161014,0.202928,0.01178,0.241627,30.0529,43.4321,0.00569,1.5987024562948589
BrC1=CC(I)=C(C=C1)N(=O)=O,-3017.704004,5.0936,3486.9588,1373.99275,0.093211,3.5565,0.18298,0.08645,-0.26943,-0.09653,327.9037,1253.01225,0.504376,-0.447198,0.02684,-0.27559,1.99854,-0.408103,120.3675,68.055625,0.02821,-0.22785,1.99858,0.6658275645,-0.111472,0.478486,0.00421,0.267011,30.0598,42.9635,0.00567,1.9964296651462206
BrC1=CC(I)=C(I)C=C1,-2824.167139,5.7593,3344.8426,1682.028,0.078793,1.3976,0.16038,0.09347,-0.25385,-0.06691,408.8027,1601.931,0.311655,-0.304075,0.03074,-0.24294,1.99848,-0.354028,81.071,56.89,0.03034,-0.24472,1.99845,0.6612649465,-0.170174,0.032244,0.01171,0.212136,31.4659,42.4037,0.00557,1.8429443660384395
BrC1=CC(I)=CC(=C1)C#N,-2905.531248,9.0344,3100.2707,1414.625,0.088226,3.7611,0.16753,0.09875,-0.26628,-0.06878,307.9159,1233.263,0.468133,-0.436486,0.02782,-0.23726,1.99863,-0.420334,116.5001,62.9286,0.02858,-0.22957,1.99866,0.6263373191,-0.203421,0.465669,0.00375,0.211722,30.8815,43.6933,0.00554,2.3510711022318684
BrC1=CC(I)=CC(=C1)N(=O)=O,-3017.711587,14.0753,3508.6359,1477.07925,0.09316,3.8702,0.18554,0.08198,-0.26752,-0.10356,327.9037,1167.512,0.440682,-0.44257,0.02797,-0.21461,1.99864,-0.437161,116.0327,62.4774,0.0286,-0.2291,1.99867,0.6274386407,-0.195442,0.538665,0.00332,0.218675,30.9818,43.4813,0.00557,2.59947672841657
BrC1=CC(I)=CC(Br)=C1,-5383.981232,0.8486,3874.6975,1307.5015,0.079202,0.2772,0.15792,0.10373,-0.26165,-0.05419,361.8022,1768.973,0.556829,-0.34852,0.02969,-0.24994,1.99876,-0.410638,109.3566,63.8783,0.02812,-0.21616,1.99866,0.6271239773,-0.228286,0.127201,0.02184,0.194112,31.1075,43.9611,0.00547,2.107492245926392
BrC1=CC(I)=CC(I)=C1,-2824.169981,0.6482,2789.588,2080.881,0.078887,0.2686,0.16252,0.09768,-0.2602,-0.06484,408.8027,1789.558,0.558426,-0.361502,0.02939,-0.22869,1.99874,-0.404896,107.0855,63.9819,0.02823,-0.21578,1.99865,0.6279106356,-0.240087,0.132557,0.01403,0.191903,31.1487,43.9588,0.00545,1.954076927956288
BrC1=CC(I)=CC=C1C=O,-2926.5919081114,2.0241213554,2932.1908653359,1283.0645191524,0.099321693,2.6200600755,0.1722694852,0.0914349132,-0.2637043984,-0.080834572,310.9165,1607.1074023107,0.673260005,-0.4306413574,0.0269916266,-0.2605102499,1.9986591867,-0.3998703744,119.6896999657,54.8451101568,0.0280340664,-0.2066618093,1.9986691867,0.6275831768,-0.2640658978,0.1564629508,0.0054391867,0.2016774639,29.486929882,43.8826649121,0.00549,2.589323400116032
BrC1=CC2=C(C=CC=C2)C=C1I,-2966.8396,14.0919,3664.865,1422.534,0.137707,3.8486,0.145325,0.089195,-0.23452,-0.05613,332.9659,1641.386,0.311263,-0.349147,0.03141,-0.29314,1.9986,-0.434183,72.4241,64.1087,0.02911,-0.25769,1.99849,0.6574889868,-0.203247,-0.160403,0.01591,0.201689,29.4712,44.0591,0.00546,1.0797515831180886
BrC1=CC2=CC=C(I)C=C2C=C1,-2966.843331,1.2135,4857.2609,1796.441,0.137778,0.179,0.14582,0.08909,-0.23491,-0.05673,332.9659,1319.834,0.533035,-0.401428,0.02759,-0.18564,1.99865,-0.417859,97.1291,66.3681,0.02735,-0.2296,1.99866,0.6269666457,-0.298828,0.270159,0.00473,0.155306,29.5215,44.9497,0.00531,1.6147836273890406
BrC1=CC=C(C#N)C(I)=C1,-2905.531222,5.6981,3078.8638,1424.969,0.088245,4.5464,0.168,0.09884,-0.26684,-0.06916,307.9159,1112.171,0.519633,-0.445128,0.0262,-0.23014,1.99859,-0.408232,122.8424,59.091,0.02835,-0.19315,1.99864,0.6567023285,-0.164048,0.590453,0.00356,0.251585,29.5648,43.4956,0.00568,2.2457188881835997
BrC1=CC=C(C=C1)C(=O)C1=C(I)C=CC=C1,-3157.383912,6.0862,6666.7225,2240.446,0.185616,3.95225,0.166165,0.090035,-0.2562,-0.07613,387.0141,1983.3455,0.467828,-0.399395,0.02765,-0.21273,1.99855,-0.411621,105.83595,67.3529,0.02677,-0.21322,1.99858,0.6999685337,-0.235513,0.207937,0.00533,0.177106,24.4946,45.0417,0.0052,1.757247247859004
BrC1=CC=C(C=C1)C(=O)C1=CC=C(I)C=C1,-3157.387267,0.2192,8741.7385,1895.5065,0.185871,2.2587,0.167545,0.089785,-0.25733,-0.07776,387.0141,1875.3415,0.604247,-0.408787,0.02704,-0.24132,1.99866,-0.39416,110.5494,57.63225,0.02745,-0.21566,1.99867,0.6268879799,-0.29248,0.152687,0.00534,0.16722,29.0073,44.6323,0.00534,2.499186917018224
BrC1=CC=C(C=C1)C1=CC=C(I)C=C1,-3044.158918,9.8242,7650.7663,1567.379,0.174068,0.1523,0.14038,0.09602,-0.2364,-0.04436,359.0037,1645.7475,0.49667,-0.304791,0.03103,-0.25246,1.99876,-0.399447,96.1111,65.217,0.0271,-0.23087,1.99864,0.6233480176,-0.303224,-0.150075,0.02335,0.145235,28.9117,45.3487,0.00528,1.6509043227217517
