,SMILES,LUMO,%VBur2.0,NBOrad,rate
,BrC(C1=CC=CC=C1)C1=C(I)C=CC=C1,-0.01504,97.7539,0.1979,0.380
,BrC1=C(Br)C=C(I)C(I)=C1,-0.04524,97.6769,0.18472,1.642
,BrC1=C(Br)C=C(I)C=C1,-0.02232,97.6373,0.20464,1.705
,BrC1=C(C(I)=CC=C1)N(=O)=O,-0.04296,97.6754,0.26638,2.102
,BrC1=C(C=C(I)C=C1)C#N,-0.04952,97.6425,0.1973,2.137
,BrC1=C(C=C(I)C=C1)N(=O)=O,-0.06665,97.6396,0.20148,2.523
,BrC1=C(C=CC(I)=C1)C#N,-0.04889,97.6963,0.2335,1.814
,BrC1=C(C=CC=C1I)C#N,-0.04707,97.7169,0.19925,1.372
,BrC1=C(C=O)C(I)=CC=C1,-0.05068,97.7169,0.28578,1.961
,BrC1=C(C=O)C=C(I)C=C1,-0.05808,97.6414,0.18652,2.249
,BrC1=C(C=O)C=CC=C1I,-0.05551,97.6967,0.19101,1.683
,BrC1=C(CC#N)C=C(I)C=C1,-0.02055,97.6370,0.2022,1.660
,BrC1=C(I)C(=CC=C1)C#N,-0.04658,97.7576,0.25358,1.289
,BrC1=C(I)C(=CC=C1)N(=O)=O,-0.06104,97.8114,0.24884,1.013
,BrC1=C(I)C=C(C=C1)C#N,-0.04771,97.6709,0.19884,1.833
,BrC1=C(I)C=C(C=C1)N(=O)=O,-0.07307,97.6713,0.1985,2.318
,BrC1=C(I)C=C(C=O)C=C1,-0.05448,97.6735,0.18746,1.870
,BrC1=C(I)C=CC(=C1)C#N,-0.04801,97.7001,0.2147,1.648
,BrC1=C(I)C=CC(=C1)N(=O)=O,-0.07329,97.7038,0.22244,2.147
,BrC1=C(I)C=CC(C=O)=C1,-0.05487,97.7008,0.21654,1.784
,BrC1=C(I)C=CC=C1N(=O)=O,-0.06127,97.6983,0.20402,1.858
,BrC1=C(OC2=C(I)C=CC=C2)C=CC(=C1)C#N,-0.02895,97.7172,0.12767,0.587
,BrC1=CC(=C(I)C=C1)N(=O)=O,-0.06651,97.74152465,0.24997,1.811
,BrC1=CC(Br)=C(Br)C=C1I,-0.03389,97.67173477,0.20369,1.586
,BrC1=CC(Br)=C(I)C(Br)=C1,-0.03925,97.7661581,0.18277,0.637
,BrC1=CC(Br)=C(I)C=C1,-0.02548,97.69742739,0.18656,1.068
,BrC1=CC(C=O)=C(I)C=C1,-0.05803,97.69892136,0.26294,2.143
,BrC1=CC(C=O)=CC(I)=C1,-0.05761,97.62534361,0.20839,2.529
,BrC1=CC(I)=C(Br)C=C1,-0.02781,97.67283782,0.20701,1.477
,BrC1=CC(I)=C(Br)C=C1I,-0.03938,97.67506134,0.20405,1.662
,BrC1=CC(I)=C(C=C1)N(=O)=O,-0.06633,97.72215437,0.27152,2.127
,BrC1=CC(I)=C(I)C=C1,-0.03912,97.67468786,0.16749,1.441
,BrC1=CC(I)=CC(=C1)C#N,-0.05079,97.63619251,0.21905,2.354
,BrC1=CC(I)=CC(=C1)N(=O)=O,-0.07564,97.63692184,0.2191,2.829
,BrC1=CC(I)=CC(Br)=C1,-0.02833,97.63991858,0.22682,1.929
,BrC1=CC(I)=CC(I)=C1,-0.03806,97.63020785,0.22777,2.219
,BrC1=CC(I)=CC=C1C=O,-0.05696,97.63879811,0.23504,2.544
,BrC1=CC2=C(C=CC=C2)C=C1I,-0.03535,97.6735761,0.18857,1.505
,BrC1=CC2=CC=C(I)C=C2C=C1,-0.03714,97.63845108,0.19163,1.903
,BrC1=CC=C(C#N)C(I)=C1,-0.04809,97.68018615,0.27441,2.203
,BrC1=CC=C(C=C1)C(=O)C1=C(I)C=CC=C1,-0.04977,97.71167134,0.2196,1.597
,BrC1=CC=C(C=C1)C(=O)C1=CC=C(I)C=C1,-0.05409,97.62765544,0.21231,2.462
,BrC1=CC=C(C=C1)C1=CC=C(I)C=C1,-0.02522,97.63653952,0.18907,1.676
,BrC1=CC=C(C=C1)C1=CC=CC(I)=C1,-0.02544,97.61601524,0.19785,1.934
,BrC1=CC=C(C=O)C(I)=C1,-0.05388,97.7113235,0.25237,1.877
,BrC1=CC=C(I)C(=C1)C#N,-0.04913,97.7004325,0.25441,1.904
,BrC1=CC=C(I)C2=C1C=CC=C2,-0.03883,97.71128076,0.22357,1.413
,BrC1=CC=C(I)C=C1,-0.01226,97.63733062,0.18703,1.404
