new_index,UMAP1,UMAP2
0,7.190525,-3.6474206
96,6.9146013,-3.709262
192,6.8898253,-3.7054138
288,7.038005,-3.5712416
384,7.0191665,-3.3053422
480,6.8989515,-3.506793
576,6.668998,-3.5507166
672,6.939382,-3.7776103
768,7.102502,-3.615505
6,6.8742166,-2.6949766
102,6.4956965,-2.941335
198,6.821489,-2.7027438
294,6.590498,-2.928326
390,6.976539,-2.9010172
486,6.688994,-2.9630635
582,6.736275,-2.778891
678,6.8386655,-2.8804703
774,6.6543717,-2.9089735
12,5.7311797,-2.9451613
108,5.7510786,-3.1854367
204,5.794782,-3.0991716
300,5.833816,-3.2527037
396,5.9442577,-3.0216742
492,5.9593983,-3.0934706
588,5.759526,-3.230631
684,5.5288005,-3.0810869
780,5.903996,-3.2991567
18,6.0555134,-3.7741506
114,5.963735,-3.564931
210,6.1342463,-3.61326
306,6.2147884,-3.692113
402,6.347122,-3.5888588
498,6.402139,-3.5978472
594,6.197588,-3.8167992
690,6.130272,-3.792783
786,6.2777333,-3.881406
1,11.731728,-17.109196
97,11.751961,-17.031357
193,11.536745,-17.163403
289,11.769689,-16.893227
385,11.607265,-17.26173
481,11.5396,-16.838825
577,11.56014,-17.04599
673,11.771078,-16.939486
769,11.866073,-16.84666
7,10.966797,-16.8533
103,11.14291,-16.728045
199,10.926598,-16.713474
295,11.050267,-16.702026
391,10.971806,-16.797691
487,10.86355,-16.723276
583,11.106739,-16.842422
679,10.952715,-16.767355
775,10.997899,-16.595028
13,11.387141,-15.756216
109,11.458518,-15.9307995
205,11.380388,-15.914891
301,11.693686,-15.822925
397,11.544266,-15.849234
493,11.457503,-16.023003
589,11.672455,-15.893955
685,11.488285,-15.913309
781,11.621922,-15.696187
19,12.324147,-16.334124
115,12.070927,-16.46109
211,11.990327,-16.139868
307,12.100941,-16.330923
403,12.270031,-16.432173
499,12.032046,-16.194628
595,12.030213,-16.211737
691,12.293976,-16.451853
787,12.224545,-16.370604
2,-5.6083765,-8.907248
98,-5.7129455,-8.944014
194,-5.4918895,-8.807193
290,-5.416549,-8.894979
386,-5.6100817,-8.940898
482,-5.328474,-8.845427
578,-5.3597913,-8.707298
674,-5.4490514,-8.851902
770,-5.393758,-8.658863
8,-4.8997684,-9.19036
104,-4.782563,-8.99022
200,-4.449176,-9.374026
296,-4.5371532,-8.957296
392,-4.710916,-9.181949
488,-4.72345,-9.0968485
584,-4.6463947,-9.182943
680,-4.790976,-9.291487
776,-4.8115087,-9.10189
14,-4.2310977,-8.230777
110,-4.107345,-8.363807
206,-4.3630433,-8.433335
302,-4.397004,-8.414589
398,-4.4853506,-8.178574
494,-4.1468053,-8.249114
590,-4.4509435,-8.367236
686,-4.0702615,-8.184351
782,-4.370616,-8.39938
20,-4.8832026,-7.8989353
116,-4.8963156,-8.000075
212,-5.0156426,-8.0844755
308,-5.0897245,-8.225214
404,-4.9390116,-7.946709
500,-4.92739,-8.110604
596,-4.8021026,-8.042518
692,-4.752589,-7.9018073
788,-5.005449,-8.144654
3,2.6621137,18.852238
99,2.7241378,19.27162
195,2.4885445,18.96437
291,2.586636,19.110561
387,2.6618125,18.865898
483,2.2499397,18.98102
579,2.6502945,19.11831
675,2.608465,19.052029
771,2.4491034,19.1404
9,1.4960803,18.945219
105,1.7745918,19.259424
201,1.5474836,19.073078
297,1.8245215,19.190165
393,1.6511962,18.929457
489,1.7683215,19.163643
585,1.7408336,19.150944
681,1.5310752,18.794195
777,1.6810703,18.967731
15,2.838596,20.01944
111,2.6296842,20.092253
207,2.3442173,20.037874
303,2.4308162,20.07399
399,2.6898756,19.840578
495,2.5006106,19.881506
591,2.5343437,19.867046
687,2.524668,20.190672
783,2.6292462,19.962952
21,1.735106,20.09392
117,1.6862991,19.958654
213,1.8524516,19.845163
309,1.5827943,20.023195
405,1.7587852,19.93298
501,1.9572971,19.693512
597,1.8446505,20.060581
693,1.7281289,20.048395
789,1.9370686,19.976604
4,-5.653648,-13.40225
100,-5.824734,-13.297717
196,-5.8177056,-13.152649
292,-5.8134017,-13.156572
388,-5.6804376,-13.450098
484,-5.6053877,-13.053956
580,-5.7221584,-13.127438
676,-5.749771,-13.467944
772,-5.663703,-13.270002
10,-5.87247,-12.549537
106,-5.734602,-12.273029
202,-5.9602475,-12.503476
298,-5.866118,-12.424567
394,-5.8436904,-12.646606
490,-5.742182,-12.785949
586,-5.859519,-12.598054
682,-5.868057,-12.509948
778,-5.7834454,-12.640084
16,-4.80272,-13.32433
112,-5.042118,-13.11726
208,-4.924837,-13.31421
304,-4.9317894,-13.085998
400,-4.889838,-13.381006
496,-4.950752,-13.394296
592,-4.9137416,-13.203105
688,-4.768077,-13.327755
784,-4.7172046,-13.020915
22,-4.928116,-12.449124
118,-4.887064,-12.284756
214,-4.7965517,-12.781368
310,-5.1259503,-12.4462385
406,-4.83612,-12.368769
502,-4.8353763,-12.571985
598,-4.839321,-12.336365
694,-4.982122,-12.404413
790,-4.811179,-12.718812
5,-1.1309203,-9.769474
101,-1.2220433,-9.791587
197,-0.8815446,-9.716879
293,-0.7124306,-9.649385
389,-1.1736834,-9.735352
485,-0.89327276,-9.501743
581,-0.9517864,-9.676254
677,-1.1153806,-9.715333
773,-0.8253643,-9.879493
11,-0.22511669,-9.337506
107,-0.18963341,-9.08965
203,-0.32220536,-9.47875
299,-0.4342208,-9.422831
395,-0.2759524,-9.2869215
491,-0.37301305,-9.20737
587,-0.44826007,-9.352941
683,-0.17584063,-9.23177
779,-0.37512648,-9.182333
17,-0.49434307,-8.404284
113,-0.5119827,-8.421196
209,-0.54385,-8.348382
305,-0.62997,-8.723558
401,-0.3953662,-8.688008
497,-0.8238659,-8.800609
593,-0.5406459,-8.573456
689,-0.3670958,-8.423866
785,-0.3408401,-8.660784
23,-1.2703938,-8.565071
119,-1.3420423,-8.587303
215,-1.3334056,-8.9136715
311,-1.1416812,-8.851799
407,-1.2367507,-8.745963
503,-1.249964,-8.88639
599,-1.0888839,-8.649953
695,-1.362004,-8.550041
791,-1.0928319,-8.721415
864,-4.2904596,2.100391
960,-4.251466,1.8325764
1056,-3.8934526,2.2092283
1152,-3.9540293,1.8345162
1248,-4.1384273,1.7977451
1344,-4.0568013,2.061762
1440,-4.134969,2.0105877
1536,-4.1256733,1.9164978
1632,-4.108634,2.1282887
870,-4.869487,2.4431548
966,-5.057041,2.266678
1062,-4.96881,2.6133304
1158,-4.6718473,2.4144475
1254,-4.9545946,2.5417478
1350,-4.8970294,2.5466006
1446,-4.6455407,2.4228015
1542,-5.041674,2.6105113
1638,-4.702045,2.5293849
876,-4.3020144,3.3740406
972,-4.461343,3.4588604
1068,-4.3958397,3.4434974
1164,-4.454493,3.1791754
1260,-4.313986,3.3650336
1356,-4.464935,3.3215573
1452,-4.2688537,3.0915916
1548,-4.4646564,3.2180703
1644,-4.2396307,3.2245126
882,-3.8588006,2.8951752
978,-3.6481123,2.6833444
1074,-3.8677711,3.0600069
1170,-3.9095445,2.8989687
1266,-3.953038,2.813393
1362,-3.855886,2.7592266
1458,-3.8176007,2.8143415
1554,-3.931456,2.7315044
1650,-3.7658155,2.966697
865,12.57962,3.0436425
961,12.661641,3.0803435
1057,12.636501,2.9570699
1153,12.414873,2.7790618
1249,12.578368,3.0140958
1345,12.777418,2.7882442
1441,12.337528,2.850601
1537,12.484383,3.1261642
1633,12.516164,2.835326
871,11.997928,3.1478307
967,11.857767,3.323313
1063,11.950412,3.2410734
1159,11.812013,3.2892342
1255,12.114393,3.4311128
1351,11.962071,3.169454
1447,11.796201,3.114594
1543,11.778038,3.1856835
1639,11.893895,2.9387822
877,11.803425,2.0128028
973,11.564164,1.9861448
1069,11.787645,2.1648061
1165,11.834267,2.1658208
1261,11.61512,2.1337192
1357,11.748809,2.199666
1453,11.567141,2.4227433
1549,11.53054,1.8962598
1645,11.750957,2.1490839
883,12.505568,1.8855003
979,12.369848,1.9598969
1075,12.574567,2.083515
1171,12.44861,1.9979491
1267,12.635008,1.9482691
1363,12.40549,2.0411513
1459,12.177161,2.1114302
1555,12.448602,1.9349282
1651,12.528945,2.0693533
866,0.8141359,6.362681
962,0.6193173,6.40379
1058,1.0229537,6.4773173
1154,0.5258191,6.4067335
1250,0.5734954,6.4064493
1346,0.74043787,6.125959
1442,0.8543843,6.4181523
1538,0.7356256,6.487505
1634,0.8610947,6.405623
872,0.5438482,5.498807
968,0.39655176,5.6664224
1064,0.57362425,5.647547
1160,0.4513409,5.843101
1256,0.5385581,5.5202575
1352,0.61122954,5.5648227
1448,0.30427772,5.45896
1544,0.3565566,5.5566716
1640,0.63227504,5.728317
878,1.2222878,5.0250916
974,1.4474708,4.913563
1070,1.2963039,5.157817
1166,1.168945,5.34399
1262,1.3537761,5.1393614
1358,1.278886,5.270353
1454,1.3475007,5.282792
1550,1.2896166,5.051746
1646,1.1240562,5.225656
884,1.6601619,5.668884
980,1.7587056,6.0221057
1076,1.610175,5.770863
1172,1.3605368,5.934013
1268,1.5625231,5.9538684
1364,1.4360762,5.8116007
1460,1.4943739,5.7731476
1556,1.5053761,6.001705
1652,1.5471407,5.958663
867,3.724325,0.66141146
963,3.693606,0.715155
1059,3.5768304,0.8438485
1155,3.861995,0.669441
1251,3.7842062,0.56695724
1347,3.6779552,0.8958882
1443,3.8226838,0.840769
1539,3.5528426,0.8723636
1635,3.6471708,0.77809644
873,4.291762,0.44219044
969,4.5439835,0.19511913
1065,4.485538,0.44728282
1161,4.5483146,0.48898944
1257,4.36852,0.32693917
1353,4.595219,0.55494225
1449,4.3445086,0.25407243
1545,4.1311903,0.31035805
1641,4.183062,0.32280266
879,4.7625856,1.1035936
975,5.136447,1.1020203
1071,4.9856963,1.0448968
1167,4.7885656,1.3013718
1263,4.968675,1.2139887
1359,4.7448215,1.3323421
1455,4.83979,1.1209205
1551,5.0110726,0.9209213
1647,4.8180513,1.0227759
885,4.3143954,1.5276163
981,4.202081,1.7273273
1077,4.3596396,1.5373248
1173,4.1744123,1.3334975
1269,4.091332,1.6340947
1365,4.189592,1.458915
1461,4.1355634,1.4041067
1557,4.255801,1.7778257
1653,4.4682684,1.4937636
868,14.40137,-12.418479
964,14.256835,-12.516519
1060,14.138292,-12.481306
1156,14.186403,-12.636449
1252,14.290166,-12.729431
1348,14.172451,-12.620991
1444,14.126188,-12.592292
1540,14.382149,-12.788035
1636,14.312516,-12.6748495
874,13.686306,-13.077449
970,13.470508,-13.071896
1066,13.477013,-13.11438
1162,13.612138,-13.240083
1258,13.347168,-13.413583
1354,13.530744,-12.867422
1450,13.682537,-12.973738
1546,13.561503,-12.916983
1642,13.419041,-13.095033
880,14.054026,-13.634895
976,13.995841,-13.816295
1072,14.168897,-13.761402
1168,14.229345,-13.722998
1264,14.038863,-13.864989
1360,13.867412,-13.776293
1456,14.118965,-13.579344
1552,14.286992,-13.93253
1648,14.120989,-13.522575
886,14.621042,-13.364576
982,14.610975,-13.484672
1078,14.661517,-13.307037
1174,14.6976185,-13.272775
1270,14.575646,-13.160288
1366,14.381717,-13.3188715
1462,14.810701,-13.392904
1558,14.805005,-13.207245
1654,14.765416,-13.136055
869,5.257318,5.926805
965,5.545516,5.8985577
1061,5.3222356,5.876048
1157,5.0500913,6.069071
1253,5.591385,5.897972
1349,5.3448787,5.5943155
1445,5.1390705,5.7233667
1541,5.619717,5.8979936
1637,5.317703,5.635845
875,4.7550426,5.9827175
971,4.491805,5.8276606
1067,4.565399,5.9073086
1163,4.6766725,5.816229
1259,4.736961,5.8109875
1355,4.5821304,6.015932
1451,4.824148,6.131914
1547,4.6278086,6.1740537
1643,4.8119087,6.1265287
881,5.3835917,4.946661
977,5.460313,4.852923
1073,5.276117,5.0664477
1169,5.5121474,5.0839324
1265,5.267855,4.9911976
1361,5.4622965,5.0382977
1457,5.357556,5.1690207
1553,5.6487317,4.941685
1649,5.452514,5.145073
887,4.691298,4.8908863
983,4.556834,4.8826814
1079,4.8101587,4.8638973
1175,4.848444,5.1097064
1271,4.4199967,4.9381595
1367,4.642587,4.8959537
1463,4.73717,5.118012
1559,4.604529,5.0693536
1655,4.712512,5.1775928
24,3.6083522,-5.5684376
120,3.7616825,-5.5336604
216,3.5223298,-5.5231333
312,3.9274805,-5.4989038
408,3.7882218,-5.2046795
504,3.5676672,-5.285725
600,3.744072,-5.34792
696,3.6351879,-5.3645506
792,3.617644,-5.376802
30,3.5816243,-4.7006183
126,3.4996614,-4.5853395
222,3.6394188,-4.613435
318,3.5849035,-4.8165197
414,3.5139976,-4.679911
510,3.5443716,-4.743028
606,3.472303,-4.725729
702,3.4875567,-4.5082498
798,3.639537,-4.7749085
36,2.7038665,-5.964826
132,2.8006177,-5.9331264
228,2.8531148,-6.0015984
324,3.0607414,-6.0709205
420,2.8370411,-6.0917706
516,3.0151083,-5.9359565
612,2.891797,-6.0506945
708,2.6740384,-5.81899
804,3.0223255,-5.8745503
42,2.5316348,-5.1256804
138,2.5541472,-5.290588
234,2.4772415,-5.5557213
330,2.6942966,-5.2193594
426,2.4115179,-5.4002647
522,2.839559,-5.3783693
618,2.7689521,-5.256798
714,2.4870503,-5.2458653
810,2.6996846,-5.308428
25,17.661797,-4.8880663
121,17.735126,-4.891638
217,17.93107,-4.7911263
313,17.868237,-4.5889273
409,18.02087,-4.7106
505,18.092108,-4.5265117
601,17.847097,-4.8735294
697,17.94011,-4.6474113
793,18.215002,-4.6507025
31,17.740883,-4.152136
127,17.796568,-4.008529
223,17.938929,-4.1910915
319,18.056046,-3.9844882
415,17.664047,-3.869407
511,18.040648,-3.997767
607,17.829008,-4.0448685
703,17.924604,-4.117671
799,17.98244,-4.0413275
37,18.528683,-5.5395913
133,18.574265,-5.420194
229,18.552507,-5.4483705
325,18.62666,-5.2804904
421,18.556797,-5.436508
517,18.788816,-5.3304567
613,18.911299,-5.1713343
709,18.831308,-5.3946857
805,18.624693,-5.1752586
43,19.062551,-4.8662305
139,19.024206,-4.7474995
235,18.875378,-4.937438
331,18.721642,-5.02908
427,19.076202,-4.8092513
523,18.953737,-4.8874173
619,18.792717,-4.7331758
715,18.934586,-5.019855
811,18.824173,-4.989629
26,3.8623617,10.903507
122,3.6986508,10.771228
218,3.8228886,10.710131
314,3.7144012,11.115281
410,3.7488515,10.75631
506,3.752452,11.037161
602,3.5788555,10.931657
698,3.6072538,10.89504
794,3.648321,11.169691
32,3.8448074,10.160991
128,3.8661592,10.305092
224,3.9307976,10.292803
320,3.626404,10.230186
416,3.9409616,10.525547
512,3.9874678,10.525427
608,3.5716076,10.424626
704,3.774557,10.211153
800,3.753476,10.268196
38,4.3548613,11.890148
134,4.194595,11.852112
230,4.1947923,12.02409
326,4.0446115,11.973086
422,4.074665,12.097024
518,3.876779,11.728292
614,4.2651978,11.84343
710,4.1344585,12.158021
806,4.0208974,11.914313
44,4.639995,11.562766
140,4.565006,11.326206
236,4.495807,11.305781
332,4.557996,11.473159
428,4.617091,11.588867
524,4.447637,11.74623
620,4.2055707,11.269704
716,4.4260826,11.516554
812,4.369932,11.446182
27,4.5232043,16.626749
123,4.699505,16.842913
219,4.6621656,16.8252
