Reaction #,Prod_Smiles,ArX_Smiles,Acid_Smiles,CAD Yield
385,COC(=O)CC1CCc2cc(C3CC3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)C1CC1,10.0
386,COC(=O)CC1CCc2cc(C3(c4ccc(Cl)cc4)CC3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)C1(c2ccc(Cl)cc2)CC1,1.4
388,COC(=O)CC1CCc2cc(C[C@@H]3C[C@H](C(C)=O)C3(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(=O)[C@H]1C[C@@H](CC(=O)O)C1(C)C,0.0
389,COC(=O)CC1CCc2cc(C3CCCC3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)C1CCCC1,17.5
390,COC(=O)CC1CCc2cc(C3CCCCC3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)C1CCCCC1,42.9
391,COC(=O)CC1CCc2cc(CO[C@@H]3C[C@H](C)CC[C@H]3C(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCC(=O)O,16.2
393,COC(=O)CC1CCc2cc(C(C)Oc3ccccc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(Oc1ccccc1)C(=O)O,51.5
394,CCC(Oc1ccccc1)c1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CCC(Oc1ccccc1)C(=O)O,38.6
395,COC(=O)CC1CCc2cc(CCc3ccc(O)cc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)CCc1ccc(O)cc1,3.4
396,COC(=O)CC1CCc2cc(CC[C@@H](C)[C@H]3CC[C@H]4[C@@H]5[C@H](O)C[C@@H]6C[C@H](O)CC[C@]6(C)[C@H]5C[C@H](O)[C@]34C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,4.2
398,COC(=O)CC1CCc2cc(C3CCCCCC3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)C1CCCCCC1,18.0
401,COC(=O)CC1CCc2cc(COc3ccccc3Cl)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)COc1ccccc1Cl,27.4
402,COC(=O)CC1CCc2cc(COc3ccc(Cl)cc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)COc1ccc(Cl)cc1,43.6
