Reaction #,Prod_Smiles,ArX_Smiles,Acid_Smiles,CAD Yield
2689,C[C@@H](NC(=O)OC(C)(C)C)c1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,C[C@@H](NC(=O)OC(C)(C)C)c1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,27.8
2690,CCOC(=O)c1nnc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)[nH]1,CCOC(=O)c1nnc(Br)[nH]1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,5.8
2691,Cn1nc(C(=O)N2CCC(c3n[nH]c4c3CCOC4)CC2)c2c1CCN(C(=O)C1CC1)C2,Ic1n[nH]c2c1CCOC2,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.8
2692,Cn1nc(C(=O)N2CCC(c3cnc4sc(C(=O)N5CCOCC5)cc4c3)CC2)c2c1CCN(C(=O)C1CC1)C2,O=C(c1cc2cc(Br)cnc2s1)N1CCOCC1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,2.9
2693,COc1ccccc1C1CCN(C(=O)c2nn(C)c3c2CN(C(=O)C2CC2)CC3)CC1,COc1ccccc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,28.7
2694,Cc1ccccc1C1CCN(C(=O)c2nn(C)c3c2CN(C(=O)C2CC2)CC3)CC1,Cc1ccccc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,47.5
2695,Cc1cc(C)c(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)c(C)c1,Cc1cc(C)c(Br)c(C)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2696,COc1cccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)c1,COc1cccc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,49.8
2697,CC(=O)c1cccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)c1,CC(=O)c1cccc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,27.1
2698,CC(=O)Nc1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,CC(=O)Nc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,37.7
2699,Cc1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,Cc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,72.1
2700,Cn1nc(C(=O)N2CCC(c3ccccc3F)CC2)c2c1CCN(C(=O)C1CC1)C2,Fc1ccccc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,28.3
2701,Cn1nc(C(=O)N2CCC(c3ccc(F)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Fc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,66.7
2702,Cn1nc(C(=O)N2CCC(c3ccccc3Cl)CC2)c2c1CCN(C(=O)C1CC1)C2,Clc1ccccc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,22.4
2703,Cn1nc(C(=O)N2CCC(c3ccc(Cl)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Clc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,61.4
2704,Cn1nc(C(=O)N2CCC(c3cccc(C#N)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,N#Cc1cccc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,27.0
2705,Cn1nc(C(=O)N2CCC(c3ccccc3O)CC2)c2c1CCN(C(=O)C1CC1)C2,Oc1ccccc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,16.2
2706,Cn1nc(C(=O)N2CCC(c3cccc(O)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Oc1cccc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,12.1
2707,Cn1nc(C(=O)N2CCC(c3ccc(O)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Oc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,36.8
2708,C[C@H](O)c1ccccc1C1CCN(C(=O)c2nn(C)c3c2CN(C(=O)C2CC2)CC3)CC1,C[C@H](O)c1ccccc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,17.1
2709,CC(O)c1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,CC(O)c1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,19.1
2710,Cn1nc(C(=O)N2CCC(c3ccc(CO)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,OCc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,24.4
2711,Cn1nc(C(=O)N2CCC(c3nccs3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1nccs1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,8.6
2712,Cn1nc(C(=O)N2CCC(c3c[nH]c(=O)[nH]c3=O)CC2)c2c1CCN(C(=O)C1CC1)C2,O=c1[nH]cc(Br)c(=O)[nH]1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.6
2713,Cn1nc(C(=O)N2CCC(c3cncnc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1cncnc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,60.9
2714,Cn1nc(C(=O)N2CCC(c3cccnc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1cccnc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,75.3
2715,Cn1nc(C(=O)N2CCC(c3cncc4ccccc34)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1cncc2ccccc12,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,7.4
2716,Cn1nc(C(=O)N2CCC(c3ccc(-c4ccccc4)cc3[N+](=O)[O-])CC2)c2c1CCN(C(=O)C1CC1)C2,O=[N+]([O-])c1cc(-c2ccccc2)ccc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
