Reaction #,Prod_Smiles,ArX_Smiles,Acid_Smiles,CAD Yield,bin
2689,C[C@@H](NC(=O)OC(C)(C)C)c1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,C[C@@H](NC(=O)OC(C)(C)C)c1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,27.8,>10
2692,Cn1nc(C(=O)N2CCC(c3cnc4sc(C(=O)N5CCOCC5)cc4c3)CC2)c2c1CCN(C(=O)C1CC1)C2,O=C(c1cc2cc(Br)cnc2s1)N1CCOCC1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,2.9,0< yield ≤10
2693,COc1ccccc1C1CCN(C(=O)c2nn(C)c3c2CN(C(=O)C2CC2)CC3)CC1,COc1ccccc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,28.7,>10
2696,COc1cccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)c1,COc1cccc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,49.8,>10
2697,CC(=O)c1cccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)c1,CC(=O)c1cccc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,27.1,>10
2698,CC(=O)Nc1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,CC(=O)Nc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,37.7,>10
2699,Cc1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,Cc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,72.1,>10
2700,Cn1nc(C(=O)N2CCC(c3ccccc3F)CC2)c2c1CCN(C(=O)C1CC1)C2,Fc1ccccc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,28.3,>10
2701,Cn1nc(C(=O)N2CCC(c3ccc(F)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Fc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,66.7,>10
2704,Cn1nc(C(=O)N2CCC(c3cccc(C#N)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,N#Cc1cccc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,27.0,>10
2705,Cn1nc(C(=O)N2CCC(c3ccccc3O)CC2)c2c1CCN(C(=O)C1CC1)C2,Oc1ccccc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,16.2,>10
2706,Cn1nc(C(=O)N2CCC(c3cccc(O)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Oc1cccc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,12.1,>10
2707,Cn1nc(C(=O)N2CCC(c3ccc(O)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Oc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,36.8,>10
2709,CC(O)c1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,CC(O)c1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,19.1,>10
2710,Cn1nc(C(=O)N2CCC(c3ccc(CO)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,OCc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,24.4,>10
2712,Cn1nc(C(=O)N2CCC(c3c[nH]c(=O)[nH]c3=O)CC2)c2c1CCN(C(=O)C1CC1)C2,O=c1[nH]cc(Br)c(=O)[nH]1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.6,0< yield ≤10
2713,Cn1nc(C(=O)N2CCC(c3cncnc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1cncnc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,60.9,>10
2714,Cn1nc(C(=O)N2CCC(c3cccnc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1cccnc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,75.3,>10
2715,Cn1nc(C(=O)N2CCC(c3cncc4ccccc34)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1cncc2ccccc12,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,7.4,0< yield ≤10
2717,Cn1nc(C(=O)N2CCC(c3ccc(CCN)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,NCCc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.4,0< yield ≤10
2720,Cn1nc(C(=O)N2CCC(c3cnc(N)nc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Nc1ncc(Br)cn1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,21.9,>10
2721,Cn1nc(C(=O)N2CCC(c3ncccn3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ncccn1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,20.4,>10
2725,CN(C)S(=O)(=O)c1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,CN(C)S(=O)(=O)c1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,18.2,>10
2728,Cn1nc(C(=O)N2CCC(c3ccc(S(C)(=O)=O)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,CS(=O)(=O)c1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,41.9,>10
2729,CC(C)c1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,CC(C)c1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,53.1,>10
2730,Cn1nc(C(=O)N2CCC(c3ccc(SC(F)(F)F)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,FC(F)(F)Sc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0,0
2731,Cn1nc(C(=O)N2CCC(c3ccc(-c4nnc(-c5ccccc5)o4)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc(-c2nnc(-c3ccccc3)o2)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,1.5,0< yield ≤10
2733,Cn1nc(C(=O)N2CCC(c3ccc(-c4ccccc4)c(F)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Fc1cc(Br)ccc1-c1ccccc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,23.1,>10
2734,CC(=O)Nc1ccc(C(C)=O)cc1C1CCN(C(=O)c2nn(C)c3c2CN(C(=O)C2CC2)CC3)CC1,CC(=O)Nc1ccc(C(C)=O)cc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,3.5,0< yield ≤10
2735,CC(=O)N1CCc2cc(C3CCN(C(=O)c4nn(C)c5c4CN(C(=O)C4CC4)CC5)CC3)ccc21,CC(=O)N1CCc2cc(Br)ccc21,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.1,0< yield ≤10
2736,Cn1nc(C(=O)N2CCC(c3cc(C(F)(F)F)cc4[nH]cnc34)CC2)c2c1CCN(C(=O)C1CC1)C2,FC(F)(F)c1cc(Br)c2nc[nH]c2c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0,0
2737,Cc1ccnc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)c1,Cc1ccnc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,85.7,>10
2740,Cn1nc(C(=O)N2CCC(c3ccc4oc5ccccc5c4c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc2oc3ccccc3c2c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,24.8,>10
2742,Cn1nc(C(=O)N2CCC(c3ccc4c(c3)C3(OCCO3)C(=O)N4)CC2)c2c1CCN(C(=O)C1CC1)C2,O=C1Nc2ccc(Br)cc2C12OCCO2,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,3.7,0< yield ≤10
2743,Cn1nc(C(=O)N2CCC(c3csc(C#N)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,N#Cc1cc(Br)cs1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,30.6,>10
2744,Cn1nc(C(=O)N2CCC(c3ccc4ncnc(O)c4c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Oc1ncnc2ccc(Br)cc12,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,37.2,>10
2746,Cn1nc(C(=O)N2CCC(c3ccc(-c4ccn[nH]4)s3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc(-c2ccn[nH]2)s1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.3,0< yield ≤10
2747,Cn1nc(C(=O)N2CCC(c3ccc(N4CCNCC4)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc(N2CCNCC2)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0,0
2748,Cn1nc(C(=O)N2CCC(c3ccccc3-c3nnn[nH]3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccccc1-c1nnn[nH]1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0,0
2749,Cn1nc(C(=O)N2CCC(c3ccc4[nH]cnc4c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc2[nH]cnc2c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,35.4,>10
