Reaction #,Plate,Rxn_Plate_Row,Rxn_Plate_Col,Prod_Smiles,Rxn_Plate,Product_theoretical_umol,Target Mass,ArX_ID,ArX_Smiles,ArX_umol,ArX_equiv,ArX_conc_M,ArX_nL,Acid_ID,Acid_Smiles,Acid_umol,Acid_equiv,Acid_conc_M,Acid_nL,Catalyst_ID,Catalyst_Smiles,Catalyst_umol,Catalyst_equiv,Catalyst_conc_M,Catalyst_nL,Additive_ID,Additive_Smiles,Additive_umol,Additive_equiv,Additive_conc_M,Additive_nL,Solvent_ID,Solvent_nL,Solvent_Smiles,Quench_Solvent1_ID,Quench_Solvent1_Smiles,Quench_Solvent1_uL,Quench_Additive1_ID,Quench_Additive1_Smiles,Quench_Additive1_conc_M,Solution_Base_ID,Solution_Base_Smiles,Solution_Base_umol,Solution_Base_equiv_rel_to_solute,Solution_Base_conc,Solution_Base_solute,Solution_Photocatalyst_ID,Solution_Photocatalyst_Smiles,Solution_Photocatalyst_umol,Solution_Photocatalyst_equiv_rel_to_solute,Solution_Photocatalyst_conc,Solution_Photocatalyst_solute,Solution_Ligand_ID,Solution_Ligand_Smiles,Solution_Ligand_umol,Solution_Ligand_equiv_rel_to_solute,Solution_Ligand_conc,Solution_Ligand_solute,CAD Yield,UV210_Prod AreaAbs,UV254_Prod AreaAbs
1,1,1,1,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)C4CC4,20hr_25C,0.1,314.13,MFCD00920757,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,0.1,1,0.1,0,MFCD00001287,C1CC1C(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,1.5,0.0,0.0
2,1,1,2,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)C4(CC4)c5ccc(cc5)Cl,20hr_25C,0.1,424.12,MFCD00920757,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,0.1,1,0.1,0,MFCD00001289,c1cc(ccc1C2(CC2)C(=O)O)Cl,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,0.0,13409.8,1748.5
3,1,1,3,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)C4(CCC4)c5ccc(cc5)Cl,20hr_25C,0.1,438.13,MFCD00920757,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,0.1,1,0.1,0,MFCD00001324,c1cc(ccc1C2(CCC2)C(=O)O)Cl,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,6.0,147554.5,23453.8
4,1,1,4,CC(=O)[C@H]1C[C@H](C1(C)C)Cc2cc3c4c(c2)[nH]c(=O)c(=O)n4C(CC3)CC(=O)OC,20hr_25C,0.1,412.20,MFCD00920757,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,0.1,1,0.1,0,MFCD00001327,CC(=O)[C@H]1C[C@H](C1(C)C)CC(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,0.0,0.0,0.0
5,1,1,5,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)C4CCCC4,20hr_25C,0.1,342.16,MFCD00920757,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,0.1,1,0.1,0,MFCD00001371,C1CCC(C1)C(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,4.1,8879.0,887.2
6,1,1,6,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)C4CCCCC4,20hr_25C,0.1,356.17,MFCD00920757,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,0.1,1,0.1,0,MFCD00001461,C1CCC(CC1)C(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,14.5,35123.8,3218.9
7,1,1,7,C[C@@H]1CC[C@H]([C@@H](C1)OCc2cc3c4c(c2)[nH]c(=O)c(=O)n4C(CC3)CC(=O)OC)C(C)C,20hr_25C,0.1,442.25,MFCD00920757,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,0.1,1,0.1,0,MFCD00001483,C[C@@H]1CC[C@H]([C@@H](C1)OCC(=O)O)C(C)C,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,5.4,78725.3,8147.2
8,1,1,8,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)C(CCCNC(=N)N)NC(=O)OCc4ccccc4,20hr_25C,0.1,536.24,MFCD00920757,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,0.1,1,0.1,0,MFCD00001762,c1ccc(cc1)COC(=O)N[C@@H](CCCNC(=N)N)C(=O)O,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,0.0,0.0,0.0
9,1,1,9,CC(c1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC2)CC(=O)OC)Oc4ccccc4,20hr_25C,0.1,394.15,MFCD00920757,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,0.1,1,0.1,0,MFCD00002643,CC(C(=O)O)Oc1ccccc1,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,13.0,150742.0,16823.7
10,1,1,10,CCC(c1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC2)CC(=O)OC)Oc4ccccc4,20hr_25C,0.1,408.17,MFCD00920757,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br,0.1,1,0.1,0,MFCD00002666,CCC(C(=O)O)Oc1ccccc1,0.15,1.5,0.2,750,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,0.1,100,blank,,0,0,0,0,DMSO,150,CS(=O)C,DMSO,CS(=O)C,9.0,Acetic Acid,CC(=O)O,0.1,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.2,Neat,Catalyst,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,1.5,Neat,Catalyst,9.0,118636.0,13137.9
